ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,192,2412,0,2437,-92,-77,100
1,192,2412,0,2437,-92,-75,100
1,192,2412,0,2437,-92,-73,100
1,234,2412,0,2412,-92,-66,100
1,234,2412,0,2412,-90,-66,100
1,234,2412,0,2412,-89,-66,100
1,234,2412,0,2417,-92,-67,100
1,234,2412,0,2417,-90,-67,100
1,234,2412,0,2417,-89,-67,100
1,234,2412,0,2422,-92,-68,100
1,234,2412,0,2422,-90,-68,100
1,234,2412,0,2422,-89,-68,100
1,191,2412,2412,2417,-91,-98,-72
1,191,2412,2412,2417,-91,-98,-67
1,191,2412,2412,2417,-91,-96,-72
1,191,2412,2412,2417,-91,-96,-67
1,191,2412,2412,2417,-91,-95,-72
1,191,2412,2412,2417,-91,-95,-67
1,191,2412,2412,2417,-90,-98,-72
1,191,2412,2412,2417,-90,-98,-67
1,191,2412,2412,2417,-90,-96,-72
1,191,2412,2412,2417,-90,-96,-67
1,191,2412,2412,2417,-90,-95,-72
1,191,2412,2412,2417,-90,-95,-67
1,191,2412,2412,2422,-91,-98,-72
1,191,2412,2412,2422,-91,-98,-68
1,191,2412,2412,2422,-91,-96,-72
1,191,2412,2412,2422,-91,-96,-68
1,191,2412,2412,2422,-91,-95,-72
1,191,2412,2412,2422,-91,-95,-68
1,191,2412,2412,2422,-90,-98,-72
1,191,2412,2412,2422,-90,-98,-68
1,191,2412,2412,2422,-90,-96,-72
1,191,2412,2412,2422,-90,-96,-68
1,191,2412,2412,2422,-90,-95,-72
1,191,2412,2412,2422,-90,-95,-68
1,218,2412,0,2412,-91,-68,100
1,218,2412,0,2412,-89,-68,100
1,218,2412,0,2417,-91,-70,100
1,218,2412,0,2417,-91,-69,100
1,218,2412,0,2417,-89,-70,100
1,218,2412,0,2417,-89,-69,100
1,218,2412,0,2422,-91,-68,100
1,218,2412,0,2422,-89,-68,100
1,228,2412,0,2417,-91,-73,100
1,228,2412,0,2417,-91,-69,100
1,228,2412,0,2417,-91,-68,100
