ssid,channel,source,signal_strength,floorid,timestamp,roomid,duplication_count
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap1,-75,60,2023-12-13 16:21:03,214,13
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
2,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
1,2457,cap1,-74,60,2023-12-13 16:21:03,214,14
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
1,2457,cap1,-85,60,2023-12-13 16:21:03,214,7
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
1,2462,cap2,-54,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
2,2462,cap2,-50,60,2023-12-13 16:21:03,214,6
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
2,2462,cap1,-76,60,2023-12-13 16:21:03,214,7
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
1,2457,cap2,-51,60,2023-12-13 16:21:03,214,6
