ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,107,213,2422,2412,2412,-59,-67,-89
1,107,213,2422,2412,2412,-59,-67,-87
1,107,213,2422,2412,2412,-59,-67,-86
1,107,213,2422,2412,2412,-59,-65,-89
1,107,213,2422,2412,2412,-59,-65,-87
1,107,213,2422,2412,2412,-59,-65,-86
1,107,213,2422,2417,2412,-59,-61,-89
1,107,213,2422,2417,2412,-59,-61,-87
1,107,213,2422,2417,2412,-59,-61,-86
1,107,213,2422,2417,2412,-59,-60,-89
1,107,213,2422,2417,2412,-59,-60,-87
1,107,213,2422,2417,2412,-59,-60,-86
1,107,213,2422,2417,2412,-59,-57,-89
1,107,213,2422,2417,2412,-59,-57,-87
1,107,213,2422,2417,2412,-59,-57,-86
1,107,213,2422,2422,2412,-59,-62,-89
1,107,213,2422,2422,2412,-59,-62,-87
1,107,213,2422,2422,2412,-59,-62,-86
1,108,213,2412,2422,2412,-58,-60,-91
1,108,213,2412,2422,2412,-58,-60,-87
1,108,213,2422,2422,2412,-60,-60,-91
1,108,213,2422,2422,2412,-60,-60,-87
1,109,213,2412,2417,2412,-52,-53,-91
1,109,213,2412,2417,2412,-52,-53,-89
1,109,213,2412,2417,2412,-52,-53,-87
1,109,213,2412,2417,2412,-52,-53,-86
1,109,213,2412,2417,2417,-52,-53,-79
1,109,213,2412,2422,2412,-52,-64,-91
1,109,213,2412,2422,2412,-52,-64,-89
1,109,213,2412,2422,2412,-52,-64,-87
1,109,213,2412,2422,2412,-52,-64,-86
1,109,213,2412,2422,2412,-52,-63,-91
1,109,213,2412,2422,2412,-52,-63,-89
1,109,213,2412,2422,2412,-52,-63,-87
1,109,213,2412,2422,2412,-52,-63,-86
1,109,213,2412,2422,2417,-52,-64,-79
1,109,213,2412,2422,2417,-52,-63,-79
1,109,213,2422,2417,2412,-56,-53,-91
1,109,213,2422,2417,2412,-56,-53,-89
1,109,213,2422,2417,2412,-56,-53,-87
1,109,213,2422,2417,2412,-56,-53,-86
1,109,213,2422,2417,2417,-56,-53,-79
1,109,213,2422,2422,2412,-56,-64,-91
1,109,213,2422,2422,2412,-56,-64,-89
1,109,213,2422,2422,2412,-56,-64,-87
1,109,213,2422,2422,2412,-56,-64,-86
1,109,213,2422,2422,2412,-56,-63,-91
1,109,213,2422,2422,2412,-56,-63,-89
1,109,213,2422,2422,2412,-56,-63,-87
1,109,213,2422,2422,2412,-56,-63,-86
1,109,213,2422,2422,2417,-56,-64,-79
1,109,213,2422,2422,2417,-56,-63,-79
1,110,213,2417,2417,2412,-67,-50,-85
1,110,213,2417,2422,2412,-67,-51,-85
1,110,213,2422,2417,2412,-68,-50,-85
1,110,213,2422,2422,2412,-68,-51,-85
1,121,213,2412,2417,2412,-64,-70,-86
1,121,213,2412,2417,2412,-64,-70,-85
1,121,213,2412,2417,2412,-64,-61,-86
1,121,213,2412,2417,2412,-64,-61,-85
1,121,213,2412,2417,2412,-63,-70,-86
1,121,213,2412,2417,2412,-63,-70,-85
1,121,213,2412,2417,2412,-63,-61,-86
1,121,213,2412,2417,2412,-63,-61,-85
1,121,213,2412,2417,2412,-61,-70,-86
1,121,213,2412,2417,2412,-61,-70,-85
1,121,213,2412,2417,2412,-61,-61,-86
1,121,213,2412,2417,2412,-61,-61,-85
1,121,213,2417,2417,2412,-65,-70,-86
1,121,213,2417,2417,2412,-65,-70,-85
1,121,213,2417,2417,2412,-65,-61,-86
1,121,213,2417,2417,2412,-65,-61,-85
1,121,213,2427,2417,2412,-76,-70,-86
1,121,213,2427,2417,2412,-76,-70,-85
1,121,213,2427,2417,2412,-76,-61,-86
1,121,213,2427,2417,2412,-76,-61,-85
1,122,213,2412,2412,2417,-67,-67,-92
1,122,213,2412,2412,2417,-62,-67,-92
1,122,213,2412,2417,2417,-67,-66,-92
1,122,213,2412,2417,2417,-67,-65,-92
1,122,213,2412,2417,2417,-62,-66,-92
1,122,213,2412,2417,2417,-62,-65,-92
1,122,213,2422,2412,2417,-82,-67,-92
1,122,213,2422,2412,2417,-71,-67,-92
1,122,213,2422,2417,2417,-82,-66,-92
