RedmiNote_11,TechnoCamon_20,Xiaomi_10T,Xiaomipoco_X3,Realme_6Pro,Vivo_Y21T
-92.0,-75.0,-87.0,-83.0,-81.0,-85.0
-92.0,-80.0,-90.0,-80.0,-84.0,-85.0
-92.0,-80.0,-90.0,-80.0,-84.0,-85.0
-94.0,-80.0,-90.0,-80.0,-84.0,-85.0
-94.0,-72.0,-90.0,-80.0,-84.0,-85.0
-94.0,-72.0,-90.0,-80.0,-84.0,-85.0
-94.0,-87.0,-90.0,-83.0,-76.0,-86.0
-94.0,-76.0,-90.0,-74.0,-88.0,-86.0
-94.0,-76.0,-85.0,-74.0,-88.0,-86.0
-84.0,-71.0,-85.0,-82.0,-82.0,-86.0
-84.0,-88.0,-85.0,-82.0,-89.0,-86.0
-84.0,-88.0,-85.0,-82.0,-89.0,-86.0
-83.0,-88.0,-85.0,-82.0,-83.0,-84.0
-83.0,-86.0,-85.0,-79.0,-83.0,-84.0
-87.0,-86.0,-85.0,-79.0,-83.0,-86.0
-87.0,-76.0,-85.0,-79.0,-83.0,-86.0
-87.0,-76.0,-85.0,-79.0,-83.0,-86.0
-84.0,-72.0,-85.0,-79.0,-83.0,-80.0
-84.0,-74.0,-85.0,-82.0,-83.0,-80.0
-84.0,-74.0,-85.0,-78.0,-83.0,-80.0
-85.0,-74.0,-85.0,-78.0,-84.0,-80.0
-85.0,-70.0,-85.0,-78.0,-84.0,-80.0
-85.0,-94.0,-85.0,-83.0,-84.0,-80.0
-91.0,-75.0,-85.0,-83.0,-84.0,-81.0
-91.0,-83.0,-85.0,-82.0,-84.0,-81.0
-91.0,-83.0,-85.0,-82.0,-84.0,-81.0
-81.0,-83.0,-81.0,-82.0,-84.0,-84.0
-87.0,-73.0,-81.0,-80.0,-80.0,-84.0
-87.0,-73.0,-81.0,-80.0,-80.0,-84.0
-87.0,-73.0,-81.0,-80.0,-84.0,-85.0
-87.0,-71.0,-81.0,-77.0,-84.0,-85.0
-87.0,-71.0,-88.0,-77.0,-84.0,-85.0
-87.0,-79.0,-80.0,-85.0,-76.0,-84.0
-87.0,-77.0,-80.0,-85.0,-83.0,-88.0
-85.0,-77.0,-80.0,-85.0,-79.0,-84.0
-85.0,-71.0,-80.0,-89.0,-79.0,-84.0
-85.0,-74.0,-80.0,-89.0,-79.0,-84.0
-85.0,-74.0,-80.0,-89.0,-79.0,-84.0
-86.0,-74.0,-80.0,-84.0,-84.0,-82.0
-86.0,-68.0,-80.0,-84.0,-84.0,-82.0
-86.0,-68.0,-80.0,-84.0,-84.0,-82.0
-86.0,-68.0,-89.0,-84.0,-84.0,-82.0
-85.0,-68.0,-89.0,-84.0,-83.0,-85.0
-85.0,-81.0,-89.0,-83.0,-83.0,-85.0
-85.0,-75.0,-89.0,-83.0,-83.0,-85.0
-86.0,-75.0,-89.0,-83.0,-82.0,-85.0
-86.0,-75.0,-89.0,-83.0,-83.0,-82.0
-86.0,-77.0,-89.0,-83.0,-83.0,-82.0
-86.0,-76.0,-89.0,-80.0,-83.0,-82.0
-86.0,-76.0,-89.0,-80.0,-85.0,-82.0
-86.0,-76.0,-89.0,-80.0,-85.0,-83.0
-86.0,-66.0,-89.0,-76.0,-85.0,-83.0
-86.0,-70.0,-89.0,-79.0,-85.0,-83.0
-86.0,-70.0,-89.0,-79.0,-85.0,-83.0
-86.0,-70.0,-92.0,-79.0,-85.0,-83.0
-86.0,-70.0,-92.0,-79.0,-81.0,-79.0
-86.0,-65.0,-92.0,-82.0,-81.0,-79.0
-86.0,-69.0,-92.0,-82.0,-81.0,-79.0
-86.0,-77.0,-92.0,-81.0,-81.0,-79.0
-86.0,-77.0,-85.0,-81.0,-81.0,-93.0
-86.0,-77.0,-85.0,-81.0,-83.0,-93.0
-86.0,-68.0,-85.0,-76.0,-83.0,-93.0
-86.0,-71.0,-85.0,-81.0,-83.0,-93.0
-86.0,-71.0,-90.0,-81.0,-83.0,-84.0
-87.0,-78.0,-90.0,-81.0,-79.0,-85.0
-87.0,-78.0,-90.0,-82.0,-79.0,-85.0
-85.0,-78.0,-93.0,-82.0,-84.0,-85.0
-82.0,-74.0,-93.0,-82.0,-84.0,-83.0
-82.0,-71.0,-93.0,-83.0,-84.0,-83.0
-82.0,-75.0,-85.0,-89.0,-84.0,-83.0
-87.0,-75.0,-85.0,-89.0,-84.0,-81.0
-87.0,-80.0,-85.0,-89.0,-82.0,-81.0
-87.0,-72.0,-85.0,-83.0,-82.0,-81.0
-87.0,-72.0,-85.0,-83.0,-82.0,-81.0
-85.0,-70.0,-85.0,-77.0,-79.0,-80.0
-85.0,-70.0,-85.0,-83.0,-79.0,-80.0
-85.0,-70.0,-85.0,-83.0,-79.0,-76.0
-88.0,-70.0,-87.0,-83.0,-84.0,-76.0
-88.0,-69.0,-87.0,-78.0,-84.0,-76.0
-87.0,-69.0,-87.0,-78.0,-84.0,-76.0
-89.0,-69.0,-83.0,-78.0,-84.0,-82.0
-89.0,-76.0,-83.0,-80.0,-76.0,-82.0
-89.0,-75.0,-83.0,-81.0,-76.0,-82.0
-89.0,-75.0,-83.0,-81.0,-76.0,-86.0
-89.0,-75.0,-86.0,-81.0,-76.0,-86.0
-89.0,-69.0,-86.0,-76.0,-80.0,-86.0
-89.0,-90.0,-86.0,-76.0,-80.0,-86.0
-85.0,-90.0,-86.0,-76.0,-80.0,-84.0
-85.0,-90.0,-86.0,-76.0,-85.0,-79.0
-85.0,-72.0,-86.0,-75.0,-85.0,-79.0
-85.0,-72.0,-86.0,-75.0,-85.0,-79.0
-86.0,-72.0,-86.0,-75.0,-87.0,-78.0
-86.0,-73.0,-86.0,-76.0,-87.0,-78.0
-86.0,-73.0,-86.0,-76.0,-87.0,-78.0
-87.0,-73.0,-86.0,-76.0,-87.0,-83.0
-87.0,-73.0,-85.0,-76.0,-78.0,-79.0
-87.0,-71.0,-85.0,-76.0,-78.0,-79.0
-87.0,-74.0,-85.0,-76.0,-78.0,-79.0
-84.0,-74.0,-85.0,-76.0,-86.0,-82.0
-84.0,-70.0,-89.0,-76.0,-86.0,-82.0
-84.0,-71.0,,-77.0,-86.0,-82.0
-84.0,-71.0,-89.0,-77.0,-86.0,-84.0
-88.0,-71.0,-89.0,-77.0,-80.0,-82.0
-88.0,-77.0,-89.0,-77.0,-80.0,-82.0
-88.0,-78.0,-89.0,-77.0,-80.0,-82.0
-84.0,-78.0,-83.0,-77.0,-86.0,-82.0
-84.0,-78.0,-83.0,-77.0,-86.0,-78.0
-84.0,-78.0,-83.0,-77.0,-86.0,-78.0
-84.0,-78.0,-87.0,-82.0,-86.0,-78.0
-86.0,-78.0,-87.0,-82.0,-85.0,-81.0
-86.0,-74.0,-87.0,-80.0,-85.0,-81.0
-86.0,-74.0,-88.0,-80.0,-85.0,-81.0
-86.0,-74.0,-88.0,-80.0,-85.0,-85.0
-86.0,-74.0,-88.0,-80.0,-85.0,-85.0
-86.0,-75.0,-88.0,-80.0,-85.0,-85.0
-88.0,-75.0,-88.0,-80.0,-81.0,-78.0
-88.0,-71.0,-88.0,-81.0,-81.0,-78.0
-88.0,-71.0,-88.0,-81.0,-81.0,-78.0
-88.0,-71.0,-85.0,-81.0,-85.0,-81.0
-86.0,-78.0,-85.0,-81.0,-77.0,-81.0
-86.0,-78.0,-85.0,-81.0,-77.0,-81.0
-86.0,-74.0,-85.0,-78.0,-77.0,-81.0
-86.0,-74.0,-85.0,-78.0,-77.0,-81.0
-87.0,-74.0,-94.0,-78.0,-79.0,-86.0
-87.0,-72.0,-94.0,-78.0,-79.0,-86.0
-87.0,-74.0,-94.0,-78.0,-79.0,-86.0
-87.0,-74.0,-94.0,-78.0,-83.0,-83.0
-87.0,-77.0,-94.0,-80.0,-83.0,-83.0
-87.0,-74.0,-94.0,-83.0,-83.0,-83.0
-87.0,-74.0,-84.0,-83.0,-83.0,-85.0
-87.0,-74.0,-84.0,-83.0,-84.0,-85.0
-87.0,-67.0,-84.0,-83.0,-84.0,-85.0
-87.0,-71.0,-84.0,-83.0,-84.0,-85.0
-87.0,-72.0,-93.0,-78.0,-84.0,-85.0
-86.0,-72.0,-93.0,-78.0,-78.0,-81.0
-86.0,-70.0,-93.0,-76.0,-78.0,-81.0
-86.0,-70.0,-86.0,-81.0,-78.0,-81.0
-86.0,-70.0,-86.0,-81.0,-78.0,-81.0
-82.0,-70.0,-86.0,-81.0,-78.0,-82.0
-82.0,-69.0,-86.0,-81.0,-78.0,-82.0
-82.0,-77.0,-86.0,-83.0,-78.0,-82.0
-85.0,-77.0,-86.0,-83.0,-82.0,-79.0
-85.0,-64.0,-86.0,-75.0,-82.0,-79.0
-85.0,-70.0,-86.0,-75.0,-82.0,-79.0
-85.0,-70.0,-86.0,-75.0,-84.0,-85.0
-83.0,-70.0,-86.0,-75.0,-75.0,-85.0
-83.0,-69.0,-86.0,-76.0,-75.0,-85.0
-83.0,-69.0,-86.0,-76.0,-75.0,-85.0
-84.0,-69.0,-85.0,-76.0,-81.0,-84.0
-84.0,-69.0,-85.0,-76.0,-88.0,-84.0
-84.0,-77.0,-85.0,-80.0,-88.0,-84.0
-84.0,-74.0,-85.0,-80.0,-88.0,-84.0
-87.0,-74.0,-85.0,-80.0,-84.0,-83.0
-87.0,-67.0,-85.0,-80.0,-84.0,-83.0
-87.0,-67.0,-85.0,-78.0,-84.0,-83.0
-87.0,-75.0,-85.0,-78.0,-84.0,-83.0
-87.0,-75.0,-85.0,-78.0,-84.0,-83.0
-87.0,,-94.0,-78.0,-84.0,-83.0
-87.0,-75.0,-94.0,-78.0,-84.0,-83.0
-87.0,-74.0,-94.0,-78.0,-84.0,-83.0
-87.0,-74.0,-90.0,-78.0,-84.0,-83.0
-87.0,-78.0,-90.0,-78.0,-85.0,-83.0
-87.0,-69.0,-90.0,-80.0,-85.0,-83.0
-87.0,-77.0,-90.0,-80.0,-85.0,-83.0
-87.0,-77.0,-81.0,-80.0,-85.0,-83.0
-85.0,-72.0,-81.0,-78.0,-84.0,-83.0
-85.0,-77.0,-81.0,-78.0,-84.0,-83.0
-85.0,-77.0,-81.0,-78.0,-84.0,-84.0
-86.0,-77.0,-81.0,-78.0,-84.0,-84.0
-86.0,-74.0,-81.0,-78.0,-84.0,-84.0
-86.0,-68.0,-81.0,-78.0,-84.0,-84.0
,-68.0,-81.0,-78.0,-84.0,-84.0
-86.0,-68.0,-81.0,-78.0,-84.0,-83.0
-81.0,-68.0,-85.0,-78.0,-85.0,-83.0
-81.0,-70.0,-85.0,-78.0,-81.0,-83.0
-81.0,-76.0,-85.0,-80.0,-81.0,-83.0
-81.0,-76.0,-85.0,-80.0,-81.0,-83.0
-83.0,-76.0,-85.0,-80.0,-81.0,-84.0
-83.0,-76.0,-85.0,-80.0,-84.0,-81.0
-83.0,-68.0,-85.0,-79.0,-84.0,-81.0
-83.0,-75.0,-85.0,-79.0,-84.0,-81.0
-83.0,-75.0,-85.0,-79.0,-84.0,-81.0
-85.0,-75.0,-85.0,-79.0,-84.0,-84.0
-85.0,-75.0,-85.0,-79.0,-85.0,-84.0
-85.0,-73.0,-85.0,-82.0,-85.0,-84.0
-85.0,-78.0,-85.0,-82.0,-85.0,-84.0
-85.0,-78.0,-85.0,-82.0,-85.0,-82.0
-85.0,-78.0,-85.0,-82.0,-75.0,-78.0
-85.0,-65.0,-85.0,-82.0,-75.0,-78.0
-85.0,-65.0,-85.0,-82.0,-75.0,-78.0
-87.0,-65.0,-85.0,-82.0,-86.0,-78.0
-87.0,-65.0,-94.0,-82.0,-86.0,-78.0
-87.0,-70.0,-94.0,-82.0,-86.0,-78.0
-87.0,-71.0,-94.0,-77.0,-86.0,-78.0
-87.0,-77.0,-94.0,-79.0,-86.0,-78.0
-86.0,-77.0,-94.0,-79.0,-86.0,-78.0
-84.0,-77.0,-88.0,-79.0,-77.0,-77.0
-84.0,-81.0,-88.0,-79.0,-77.0,-77.0
-84.0,-75.0,-88.0,-83.0,-77.0,-77.0
-84.0,-78.0,-88.0,-83.0,-77.0,-77.0
-85.0,-78.0,-88.0,-83.0,-86.0,-77.0
-85.0,-68.0,-88.0,-83.0,,-77.0
-85.0,-68.0,-88.0,-81.0,,-77.0
-85.0,-68.0,-87.0,-81.0,-86.0,-77.0
-85.0,-68.0,-87.0,-83.0,-86.0,-77.0
-85.0,-75.0,-87.0,-82.0,-86.0,-77.0
-85.0,-75.0,-87.0,-82.0,-86.0,-77.0
-85.0,-75.0,-86.0,-82.0,-86.0,-77.0
-85.0,-75.0,-84.0,-82.0,-86.0,-77.0
-85.0,-76.0,-84.0,-82.0,-86.0,-77.0
-85.0,-76.0,-84.0,-82.0,-86.0,-77.0
-85.0,-76.0,-84.0,-82.0,-86.0,-77.0
-85.0,-76.0,-84.0,-82.0,-85.0,-77.0
,-74.0,-84.0,-89.0,-85.0,-77.0
,-74.0,-84.0,-89.0,-85.0,-77.0
-85.0,-74.0,-87.0,-89.0,-85.0,-85.0
-85.0,-73.0,-87.0,-89.0,-85.0,-85.0
-85.0,-71.0,-87.0,-89.0,-85.0,
-85.0,-71.0,-87.0,-89.0,-85.0,
-85.0,-71.0,-87.0,-89.0,-85.0,-85.0
-87.0,-71.0,-87.0,-89.0,-85.0,-84.0
-87.0,-75.0,-87.0,-89.0,-85.0,-82.0
-87.0,-76.0,-87.0,-83.0,-85.0,-82.0
-87.0,-76.0,-87.0,-83.0,-85.0,-82.0
-87.0,,-89.0,-83.0,-85.0,-82.0
-84.0,,-89.0,,-78.0,-79.0
-84.0,-76.0,-89.0,-83.0,-79.0,-78.0
-84.0,-78.0,-89.0,-83.0,-79.0,-78.0
-84.0,-74.0,-89.0,-83.0,-79.0,-78.0
-84.0,-74.0,-89.0,-85.0,-79.0,-78.0
-84.0,-74.0,-85.0,-85.0,-79.0,-78.0
-84.0,-74.0,-85.0,-85.0,-85.0,-79.0
-84.0,-69.0,-85.0,-85.0,-85.0,-79.0
-84.0,-67.0,-85.0,-82.0,-85.0,-79.0
-84.0,-67.0,-85.0,-83.0,-85.0,-79.0
-84.0,-67.0,-85.0,-83.0,-85.0,-84.0
-81.0,-67.0,-85.0,-83.0,-76.0,-84.0
-81.0,-70.0,-85.0,-83.0,-76.0,-84.0
-81.0,-77.0,-85.0,-83.0,-76.0,-84.0
-81.0,-77.0,-85.0,-83.0,-76.0,-84.0
-88.0,-77.0,-88.0,-83.0,-86.0,-80.0
-86.0,-70.0,,-88.0,-86.0,-83.0
-86.0,-73.0,-88.0,-88.0,-86.0,-83.0
-86.0,-73.0,-88.0,-88.0,,-83.0
-86.0,-73.0,-88.0,-88.0,-86.0,-83.0
,-73.0,-88.0,-88.0,-85.0,-83.0
,-71.0,-88.0,-75.0,-88.0,
-85.0,-77.0,-88.0,-82.0,-88.0,-83.0
-85.0,,-88.0,,-88.0,-83.0
-88.0,-77.0,-88.0,-82.0,-84.0,-83.0
-88.0,-77.0,-88.0,-82.0,-103.0,-80.0
-88.0,-77.0,-88.0,-82.0,-103.0,-80.0
-88.0,-73.0,-88.0,-82.0,-103.0,-80.0
-88.0,-73.0,-85.0,-82.0,-103.0,-80.0
-88.0,-65.5,-85.0,-85.0,-103.0,-80.0
-88.0,-68.0,-85.0,-85.0,-103.0,-80.0
-86.0,-68.0,-85.0,-85.0,-87.0,-82.0
-86.0,-68.0,-85.0,-86.0,-87.0,-82.0
-86.0,-70.0,-85.0,-75.0,-87.0,-82.0
-86.0,-84.0,-88.0,-76.0,-87.0,-82.0
-86.0,-84.0,-80.0,-76.0,-87.0,-82.0
-86.0,-75.0,-80.0,-76.0,-84.0,-80.0
-86.0,-75.0,,-76.0,-84.0,-80.0
-86.0,-69.0,-80.0,-77.0,-84.0,-80.0
-85.0,-69.0,-80.0,-77.0,,-80.0
-88.0,-69.0,-80.0,-77.0,-84.0,-82.0
-88.0,-74.0,-80.0,-82.0,-85.0,-82.0
,-77.0,-80.0,-82.0,-85.0,
-88.0,-77.0,-80.0,-82.0,-85.0,
-81.0,,-80.0,,-84.0,-76.0
-81.0,-77.0,-80.0,,-84.0,-76.0
-81.0,-64.0,-80.0,-82.0,-84.0,-76.0
-81.0,-64.0,-89.0,-82.0,-84.0,-76.0
-88.0,-64.0,-89.0,-82.0,-80.0,-75.0
-88.0,-64.0,-89.0,-82.0,-80.0,-81.0
-88.0,-74.0,-89.0,-81.0,-80.0,-81.0
-88.0,-76.0,-89.0,-81.0,-80.0,-81.0
-88.0,-76.0,-89.0,-81.0,-80.0,-81.0
-88.0,-76.0,,-81.0,-80.0,-84.0
-88.0,-70.0,,-81.0,-74.0,-83.0
-88.0,-63.0,-89.0,-81.0,,-83.0
-88.0,-70.0,-89.0,-82.0,,-83.0
-88.0,-70.0,-89.0,-82.0,-74.0,-81.0
,-70.0,-89.0,-82.0,-85.0,-80.0
-88.0,-73.0,-89.0,-82.0,-85.0,
-88.0,,-89.0,-82.0,-85.0,-80.0
-88.0,,-89.0,,-85.0,-80.0
-88.0,-73.0,-89.0,-82.0,-85.0,-81.0
-88.0,-75.0,-87.5,-82.5,-85.0,-81.0
-85.0,-75.0,-86.0,-83.0,-78.0,-81.0
-85.0,-65.0,-86.0,-79.0,-78.0,-71.0
-85.0,-74.0,-86.0,-79.0,-78.0,-71.0
-83.0,-74.0,-89.0,-79.0,-78.0,-81.0
-86.0,-74.0,,-79.0,-78.0,-86.0
-86.0,-67.0,-89.0,-77.0,-78.0,-86.0
-86.0,-73.0,-89.0,-82.0,,-86.0
-86.0,-73.0,-89.0,-82.0,-78.0,-84.0
,-62.0,-92.0,-82.0,-85.0,
-86.0,,-92.0,,-85.0,-75.0
-86.0,-75.0,-92.0,-82.0,-85.5,-79.0
-86.0,-69.0,-92.0,-82.0,-86.0,-83.0
-86.0,-75.0,-92.0,-85.0,-86.0,-83.0
-86.0,-75.0,-92.0,-85.0,-83.0,-83.0
-86.0,-75.0,-92.0,-85.0,-87.0,-83.0
-86.0,-75.0,,-85.0,-87.0,-83.0
-86.0,-75.0,-92.0,-85.0,,-83.0
,-75.0,-92.0,-85.0,-87.0,-83.0
-84.0,,-92.0,-85.0,-82.0,
-84.0,,-92.0,,-82.0,-83.0
-84.0,-68.0,-92.0,-82.0,-82.0,-83.0
-87.0,-68.0,-87.0,-82.0,-93.0,-84.0
-87.0,-68.0,-87.0,-83.0,-93.0,-84.0
-87.0,-67.0,-87.0,-83.0,-93.0,-84.0
-87.0,-67.0,-87.0,-83.0,-93.0,-84.0
-87.0,-67.0,,-83.0,-93.0,-84.0
-87.0,-71.0,-79.0,-83.0,,-84.0
-87.0,-65.0,-79.0,-83.0,-83.0,-84.0
,-75.0,-79.0,-82.0,-83.0,
-87.0,,-79.0,,-83.0,-84.0
-85.0,-75.0,-79.0,-82.0,-85.0,-84.0
-85.0,-71.0,-79.0,-83.0,-85.0,-84.0
-85.0,-69.0,-79.0,-83.0,-85.0,-84.0
-85.0,-69.0,-79.0,-83.0,-85.0,-83.0
-81.0,-74.0,,-80.0,-83.0,-78.0
-81.0,-74.0,-79.0,-80.0,,-78.0
-81.0,-74.0,-88.0,-80.0,-83.0,-78.0
,-74.0,-88.0,-80.0,-83.0,
-86.0,,-88.0,,-84.0,-84.0
-86.0,-70.0,-88.0,-86.0,-84.0,-84.0
-86.0,-69.0,-88.0,-84.0,-84.0,-84.0
-86.0,-73.0,-88.0,-80.0,-84.0,-84.0
-86.0,-73.0,-88.0,-80.0,-85.0,-84.0
-86.0,-66.0,-88.0,-79.0,-85.0,-84.0
-86.0,-75.0,-88.0,-79.0,-85.0,-84.0
-86.0,-75.0,,-79.0,-85.0,-84.0
-87.0,-75.0,-88.0,-79.0,,-83.0
,-71.0,-88.0,-79.0,-85.0,-83.0
-83.0,,-88.0,-83.0,-86.0,
-85.0,-74.0,-88.0,-83.0,-86.0,-83.5
-87.0,-70.0,-88.0,-83.0,-86.0,-84.0
-87.0,-74.0,-88.0,-83.0,-86.0,-84.0
-87.0,-74.0,-88.0,-83.0,-86.0,-84.0
-87.0,-74.0,-87.0,-83.0,-86.0,-84.0
-88.0,-74.0,,-83.0,-77.0,-82.0
-88.0,-76.0,-87.0,-83.0,,-82.0
-88.0,-68.0,-87.0,-83.0,-78.0,-82.0
,-68.0,-87.0,-82.0,-78.0,
-88.0,,-85.0,,-78.0,-82.0
-88.0,-71.0,-85.0,-82.0,-74.0,-82.0
-88.0,-76.0,-85.0,-82.0,-74.0,-82.0
-88.0,-76.0,-85.0,-82.0,-85.0,-81.0
-88.0,-81.0,-85.0,-87.0,-84.0,-81.0
-88.0,-69.0,,-77.0,-84.0,-81.0
-87.0,-69.0,-85.0,-77.0,,-82.0
-87.0,-74.0,-89.0,-81.0,-79.0,-82.0
,-74.0,-89.0,-76.0,-79.0,
-87.0,,-89.0,,-79.0,-82.0
-87.0,-74.5,-89.0,-76.0,-78.5,-82.0
-87.0,-75.0,-89.0,-76.0,-80.0,-82.0
-87.0,-75.0,-89.0,-76.0,-80.0,-82.0
-87.0,-74.0,-89.0,-81.0,-80.0,-82.0
-87.0,-75.0,-89.0,-81.0,-80.0,-82.0
-87.0,-75.0,,-81.0,-83.0,-81.0
-87.0,-77.0,-91.0,-81.0,,-81.0
,-76.0,-91.0,-81.0,-79.0,-81.0
-87.0,,-91.0,-82.0,-79.0,
-87.0,-76.0,-83.0,-82.0,-82.0,-81.0
-87.0,-75.0,-83.0,-84.0,-85.0,-81.0
-87.0,-75.0,-83.0,-84.0,-85.0,-81.0
-82.0,-75.0,-83.0,-84.0,-85.0,-84.0
-82.0,-77.0,-83.0,-83.0,-85.0,-84.0
-82.0,-77.0,,-83.0,-85.0,-84.0
-88.0,-77.0,-99.0,-83.0,,-83.0
-88.0,-72.0,-99.0,-83.0,-85.0,-83.0
,-73.0,-99.0,-76.0,-73.0,
-88.0,,-99.0,,-73.0,-83.0
-88.0,-73.0,-99.0,-76.0,-73.0,-83.0
-88.0,-73.0,-99.0,-76.0,-75.0,-83.0
-88.0,-80.0,-99.0,-76.0,-75.0,-83.0
-88.0,-71.0,-99.0,-82.0,-75.0,-83.0
-87.0,-71.0,,-82.0,-75.0,-83.0
-87.0,-77.0,-99.0,-82.0,,-83.0
-87.0,-70.0,-99.0,-77.0,-90.0,-83.0
,-76.0,-99.0,-81.0,-90.0,
-87.0,,-99.0,,-90.0,-83.0
-87.0,-75.5,-99.0,-82.0,-84.0,-83.0
-87.0,-75.0,-99.0,-81.0,-84.0,-83.0
-83.0,-75.0,-87.0,-81.0,-81.0,-84.0
-83.0,-69.0,-87.0,-81.0,-81.0,-84.0
-83.0,-76.0,-87.0,-82.0,-81.0,-84.0
-86.0,-76.0,,-82.0,-84.0,-84.0
-86.0,-73.0,-94.0,-82.0,,-84.0
,-77.0,-94.0,-80.0,-84.0,-84.0
-86.0,,-94.0,-80.0,-84.0,
-86.0,-77.0,-90.0,-80.0,-83.5,-83.0
-86.0,-77.0,-90.0,-80.0,-79.0,-82.0
-86.0,-75.0,-90.0,-77.0,-79.0,-82.0
-86.0,-75.0,-90.0,-77.0,-79.0,-82.0
-88.0,-71.0,-90.0,-77.0,-72.0,-75.0
-88.0,-71.0,,-82.0,-72.0,-75.0
-88.0,-72.0,-90.0,-82.0,,-75.0
-88.0,-72.0,-90.0,-82.0,-72.0,-75.0
,-78.0,-90.0,-83.0,-82.0,
-82.0,,-90.0,,-82.0,-75.0
-82.0,-78.0,-90.0,-77.0,-82.0,-75.0
-82.0,-78.0,-90.0,-77.0,-82.0,-75.0
-82.0,-78.0,-90.0,-77.0,-83.0,-83.0
-82.0,-75.0,-90.0,-84.0,-83.0,-83.0
-82.0,-75.0,,-84.0,-83.0,-83.0
-88.0,-75.0,-90.0,-84.0,,-83.0
-88.0,-67.0,-85.0,-77.0,-85.0,-83.0
,-67.0,-85.0,-77.0,-87.0,
-88.0,,-85.0,,-87.0,-83.0
-88.0,-67.0,-86.0,-77.0,-84.5,-80.5
-88.0,-75.0,-86.0,-84.0,-82.0,-78.0
-88.0,-75.0,-92.0,-84.0,-82.0,-78.0
-88.0,-75.0,-92.0,-84.0,-85.0,-86.0
-88.0,-77.0,-92.0,-84.0,-85.0,-86.0
-88.0,-77.0,,-84.0,-85.0,-86.0
-88.0,-76.0,-88.0,-84.0,,-86.0
,-65.0,-84.0,-79.0,-74.0,-86.0
-88.0,,-84.0,-84.0,-74.0,
-88.0,-76.0,-83.5,-84.0,-74.0,-86.0
-88.0,-76.0,-83.0,-84.0,-83.0,-81.0
-88.0,-73.0,-83.0,-84.0,-83.0,-81.0
-88.0,-73.0,-83.0,-80.0,-83.0,-81.0
-88.0,-73.0,-84.0,-80.0,-83.0,-81.0
-84.0,-73.0,,-80.0,-75.0,-83.0
-84.0,-84.0,-84.0,-80.0,,-83.0
-84.0,-70.0,-84.0,-77.0,-75.0,-83.0
,-76.0,-84.0,-82.0,-75.0,
-84.0,,-84.0,,-75.0,-83.0
-87.0,-75.5,-84.0,-81.0,-75.0,-83.0
-87.0,-70.0,-84.0,-80.0,-75.0,-83.0
-82.0,-70.0,-81.0,-80.0,-75.0,-78.0
-82.0,-74.0,-81.0,-83.0,-75.0,-78.0
-82.0,-74.0,,-82.0,-75.0,-78.0
-82.0,-74.0,-81.0,-82.0,,-83.0
-82.0,-77.0,-81.0,-82.0,-85.0,-83.0
,-75.0,-81.0,-81.0,-85.0,
-82.0,,-81.0,,-85.0,-83.0
-82.0,-75.0,-81.0,-83.0,-85.0,-82.5
-88.0,-75.0,-81.0,-83.0,-76.0,-82.0
-88.0,-75.0,-81.0,-83.0,-76.0,-82.0
-88.0,-77.0,-97.0,-81.0,-76.0,-82.0
-88.0,-77.0,-97.0,-81.0,-84.0,-82.0
