mac_address,ssid,channel,source,signal_strength,floorid,timestamp,roomid
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-63,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-62,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-63,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-62,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-63,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-62,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2422,cap3,-54,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2417,cap3,-55,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-77,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-74,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-74,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap3,-55,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-74,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2422,cap3,-57,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2422,cap3,-55,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2422,cap3,-57,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2422,cap3,-55,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap3,-58,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap3,-51,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-66,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2422,cap3,-58,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-66,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2422,cap3,-58,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2427,cap3,-66,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2422,cap3,-58,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2417,cap3,-44,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2417,cap3,-54,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2417,cap3,-44,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-69,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2412,cap1,-84,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2417,cap3,-44,349,13/12/2023 16:21,111
FE:47:AD:D7:13:E2,C1,2427,cap3,-69,349,13/12/2023 16:21,111
CA:0F:36:7D:94:1C,C2,2412,cap1,-88,349,13/12/2023 16:21,111
