ssid,floorid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
1,212,2457,2452,2462,-82,-91,-61
1,212,2457,2452,2462,-82,-89,-65
1,212,2457,2452,2462,-82,-89,-61
1,212,2457,2452,2462,-82,-85,-65
1,212,2457,2452,2462,-82,-85,-61
1,212,2457,2457,2457,-82,-82,-60
1,212,2457,2457,2462,-82,-82,-65
1,212,2457,2457,2462,-82,-82,-61
1,70,2462,2457,2462,-83,-48,-89
1,70,2462,2457,2462,-76,-48,-89
1,70,2462,2457,2462,-74,-48,-89
1,70,2462,2462,2462,-83,-49,-89
1,70,2462,2462,2462,-76,-49,-89
1,70,2462,2462,2462,-74,-49,-89
1,17,2462,2462,0,-80,-75,100
1,17,2462,2462,0,-80,-74,100
1,79,2462,2462,2462,-76,-36,-101
1,79,2462,2462,2462,-76,-36,-99
1,79,2462,2462,2462,-76,-36,-96
1,79,2462,2462,2462,-76,-36,-90
1,79,2462,2462,2462,-75,-36,-101
1,79,2462,2462,2462,-75,-36,-99
1,79,2462,2462,2462,-75,-36,-96
1,79,2462,2462,2462,-75,-36,-90
1,79,2462,2462,2462,-74,-36,-101
1,79,2462,2462,2462,-74,-36,-99
1,79,2462,2462,2462,-74,-36,-96
1,79,2462,2462,2462,-74,-36,-90
1,79,2462,2462,2462,-71,-36,-101
1,79,2462,2462,2462,-71,-36,-99
1,79,2462,2462,2462,-71,-36,-96
1,79,2462,2462,2462,-71,-36,-90
2,152,2432,2442,2442,-78,-75,-87
2,152,2432,2442,2462,-78,-75,-93
2,152,2432,2442,2462,-78,-75,-84
2,152,2432,2447,2442,-78,-80,-87
2,152,2432,2447,2442,-78,-75,-87
2,152,2432,2447,2462,-78,-80,-93
2,152,2432,2447,2462,-78,-80,-84
2,152,2432,2447,2462,-78,-75,-93
2,152,2432,2447,2462,-78,-75,-84
2,152,2432,2457,2442,-78,-64,-87
2,152,2432,2457,2462,-78,-64,-93
2,152,2432,2457,2462,-78,-64,-84
2,152,2437,2442,2442,-83,-75,-87
2,152,2437,2442,2462,-83,-75,-93
2,152,2437,2442,2462,-83,-75,-84
2,152,2437,2447,2442,-83,-80,-87
2,152,2437,2447,2442,-83,-75,-87
2,152,2437,2447,2462,-83,-80,-93
2,152,2437,2447,2462,-83,-80,-84
2,152,2437,2447,2462,-83,-75,-93
2,152,2437,2447,2462,-83,-75,-84
2,152,2437,2457,2442,-83,-64,-87
2,152,2437,2457,2462,-83,-64,-93
2,152,2437,2457,2462,-83,-64,-84
2,152,2452,2442,2442,-78,-75,-87
2,152,2452,2442,2462,-78,-75,-93
2,152,2452,2442,2462,-78,-75,-84
2,152,2452,2447,2442,-78,-80,-87
2,152,2452,2447,2442,-78,-75,-87
2,152,2452,2447,2462,-78,-80,-93
2,152,2452,2447,2462,-78,-80,-84
2,152,2452,2447,2462,-78,-75,-93
2,152,2452,2447,2462,-78,-75,-84
2,152,2452,2457,2442,-78,-64,-87
2,152,2452,2457,2462,-78,-64,-93
2,152,2452,2457,2462,-78,-64,-84
2,112,2442,2437,2442,-91,-84,-92
2,112,2442,2437,2442,-91,-84,-90
2,112,2442,2437,2442,-89,-84,-92
2,112,2442,2437,2442,-89,-84,-90
2,112,2442,2462,2442,-91,-78,-92
2,112,2442,2462,2442,-91,-78,-90
2,112,2442,2462,2442,-89,-78,-92
2,112,2442,2462,2442,-89,-78,-90
2,112,2462,2437,2442,-51,-84,-92
2,112,2462,2437,2442,-51,-84,-90
2,112,2462,2462,2442,-51,-78,-92
