ssid,channel,source,signal_strength,floorid,roomid
1,2442,cap3,-82,145,213
1,2422,cap2,-74,148,213
1,2432,cap2,-55,148,213
1,2437,cap2,-62,148,213
1,2437,cap3,-86,148,213
1,2437,cap3,-85,148,213
1,2437,cap3,-84,148,213
1,2442,cap1,-48,148,213
1,2442,cap2,-61,148,213
1,2442,cap2,-59,148,213
1,2442,cap2,-57,148,213
1,2442,cap2,-56,148,213
1,2442,cap2,-55,148,213
1,2442,cap3,-87,148,213
1,2452,cap1,-59,148,213
1,2432,cap2,-79,151,213
1,2432,cap3,-88,151,213
1,2437,cap1,-56,151,213
1,2437,cap2,-69,151,213
1,2437,cap2,-68,151,213
1,2437,cap3,-94,151,213
1,2437,cap3,-92,151,213
1,2437,cap3,-90,151,213
1,2437,cap3,-89,151,213
1,2437,cap3,-88,151,213
1,2442,cap1,-57,151,213
1,2442,cap1,-56,151,213
1,2442,cap1,-55,151,213
1,2442,cap1,-54,151,213
1,2442,cap2,-70,151,213
1,2442,cap2,-68,151,213
1,2447,cap2,-71,151,213
1,2427,cap3,-86,154,213
1,2432,cap3,-82,154,213
1,2437,cap2,-65,154,213
1,2437,cap2,-63,154,213
1,2437,cap2,-61,154,213
1,2437,cap3,-85,154,213
1,2437,cap3,-84,154,213
1,2442,cap1,-55,154,213
1,2442,cap1,-52,154,213
1,2442,cap2,-62,154,213
1,2442,cap2,-61,154,213
1,2442,cap2,-60,154,213
1,2442,cap3,-86,154,213
1,2442,cap3,-85,154,213
1,2442,cap3,-84,154,213
1,2447,cap2,-66,154,213
1,2452,cap1,-72,154,213
1,2452,cap1,-67,154,213
1,2432,cap2,-70,157,213
1,2432,cap2,-62,157,213
1,2437,cap1,-54,157,213
1,2437,cap2,-71,157,213
1,2442,cap1,-55,157,213
1,2442,cap1,-53,157,213
1,2442,cap2,-72,157,213
1,2442,cap2,-70,157,213
1,2442,cap2,-68,157,213
1,2442,cap3,-86,157,213
1,2442,cap3,-85,157,213
1,2442,cap3,-83,157,213
1,2447,cap1,-61,157,213
1,2427,cap2,-80,160,213
1,2437,cap2,-69,160,213
1,2437,cap2,-66,160,213
1,2437,cap3,-89,160,213
1,2437,cap3,-84,160,213
1,2442,cap2,-70,160,213
1,2442,cap3,-84,160,213
1,2442,cap3,-83,160,213
1,2447,cap2,-70,160,213
1,0,cap1,100,160,213
1,2427,cap2,-79,163,213
1,2427,cap2,-68,163,213
1,2432,cap2,-68,163,213
1,2432,cap3,-90,163,213
1,2437,cap1,-57,163,213
1,2437,cap2,-70,163,213
1,2437,cap2,-69,163,213
1,2437,cap3,-92,163,213
1,2437,cap3,-90,163,213
1,2437,cap3,-86,163,213
1,2442,cap1,-59,163,213
1,2442,cap1,-56,163,213
1,2442,cap3,-89,163,213
1,2442,cap3,-88,163,213
1,2427,cap2,-73,166,213
1,2432,cap2,-73,166,213
1,2432,cap2,-69,166,213
1,2432,cap3,-84,166,213
1,2437,cap2,-74,166,213
1,2437,cap2,-67,166,213
1,2437,cap3,-90,166,213
