ssid,channel,source,signal_strength,floorid,roomid
1,2412,cap3,-91,109,213
1,2412,cap3,-91,141,213
1,2412,cap3,-91,142,213
1,2412,cap3,-91,144,213
1,2412,cap3,-90,104,213
1,2412,cap3,-90,105,213
1,2412,cap3,-90,125,213
1,2412,cap3,-90,129,213
1,2412,cap3,-90,143,213
1,2412,cap3,-90,144,213
1,2412,cap3,-90,148,213
1,2412,cap3,-89,104,213
1,2412,cap3,-89,105,213
1,2412,cap3,-89,107,213
1,2412,cap3,-89,109,213
1,2412,cap3,-89,126,213
1,2412,cap3,-89,143,213
1,2412,cap3,-88,102,213
1,2412,cap3,-88,103,213
1,2412,cap3,-88,104,213
1,2412,cap3,-88,105,213
1,2412,cap3,-88,123,213
1,2412,cap3,-88,124,213
1,2412,cap3,-88,148,213
1,2412,cap3,-87,102,213
1,2412,cap3,-87,103,213
1,2412,cap3,-87,107,213
1,2412,cap3,-87,108,213
1,2412,cap3,-87,109,213
1,2412,cap3,-87,123,213
1,2412,cap3,-87,124,213
1,2412,cap3,-87,125,213
1,2412,cap3,-87,126,213
1,2412,cap3,-87,141,213
1,2412,cap3,-87,148,213
1,2412,cap3,-87,149,213
1,2412,cap3,-87,161,213
1,2412,cap3,-87,167,213
1,2412,cap3,-86,101,213
1,2412,cap3,-86,103,213
1,2412,cap3,-86,107,213
1,2412,cap3,-86,109,213
1,2412,cap3,-86,121,213
1,2412,cap3,-86,123,213
1,2412,cap3,-86,146,213
1,2412,cap3,-86,147,213
1,2412,cap3,-86,149,213
1,2412,cap3,-86,150,213
1,2412,cap3,-86,161,213
1,2412,cap3,-86,181,213
1,2412,cap3,-85,110,213
1,2412,cap3,-85,121,213
1,2412,cap3,-85,124,213
1,2412,cap3,-85,125,213
1,2412,cap3,-85,126,213
1,2412,cap3,-85,147,213
1,2412,cap3,-85,148,213
1,2412,cap3,-85,149,213
1,2412,cap3,-85,167,213
1,2412,cap3,-85,181,213
1,2412,cap3,-84,149,213
1,2412,cap3,-84,163,213
1,2412,cap3,-84,167,213
1,2412,cap3,-84,170,213
1,2412,cap3,-84,181,213
1,2412,cap3,-84,184,213
1,2412,cap3,-83,106,213
1,2412,cap3,-83,146,213
1,2412,cap3,-83,163,213
1,2412,cap3,-83,165,213
1,2412,cap3,-83,170,213
1,2412,cap3,-82,150,213
1,2412,cap3,-82,165,213
1,2412,cap3,-82,170,213
1,2412,cap3,-81,167,213
1,2412,cap3,-78,164,213
1,2412,cap3,-76,169,213
1,2417,cap1,-70,146,213
1,2417,cap1,-68,130,213
1,2417,cap1,-67,110,213
1,2417,cap1,-67,127,213
1,2417,cap1,-67,130,213
1,2417,cap1,-67,146,213
1,2417,cap1,-66,127,213
1,2417,cap1,-66,145,213
1,2417,cap1,-65,121,213
1,2417,cap1,-65,143,213
1,2417,cap1,-65,144,213
1,2417,cap1,-64,130,213
1,2417,cap1,-62,130,213
1,2417,cap1,-60,142,213
1,2417,cap1,-60,145,213
1,2417,cap1,-60,148,213
1,2417,cap1,-59,142,213
1,2417,cap1,-58,125,213
1,2417,cap1,-58,183,213
1,2417,cap1,-57,123,213
1,2417,cap1,-57,143,213
1,2417,cap1,-55,103,213
1,2417,cap1,-55,106,213
1,2417,cap1,-55,141,213
1,2417,cap1,-55,164,213
1,2417,cap1,-52,126,213
1,2417,cap1,-51,103,213
1,2417,cap1,-51,107,213
1,2417,cap1,-49,166,213
1,2417,cap1,-48,128,213
1,2417,cap1,-47,162,213
1,2417,cap1,-46,187,213
1,2417,cap1,-45,163,213
1,2417,cap1,-45,168,213
1,2417,cap1,-33,150,213
1,2417,cap1,-25,150,213
1,2417,cap2,-75,147,213
1,2417,cap2,-74,145,213
1,2417,cap2,-73,147,213
1,2417,cap2,-71,145,213
1,2417,cap2,-70,121,213
1,2417,cap2,-70,185,213
1,2417,cap2,-69,144,213
1,2417,cap2,-68,102,213
1,2417,cap2,-68,144,213
1,2417,cap2,-68,162,213
1,2417,cap2,-67,144,213
1,2417,cap2,-67,162,213
1,2417,cap2,-67,184,213
1,2417,cap2,-66,102,213
1,2417,cap2,-66,122,213
1,2417,cap2,-66,130,213
1,2417,cap2,-66,143,213
1,2417,cap2,-66,162,213
1,2417,cap2,-66,181,213
1,2417,cap2,-65,122,213
1,2417,cap2,-65,126,213
1,2417,cap2,-65,130,213
1,2417,cap2,-65,141,213
1,2417,cap2,-65,143,213
1,2417,cap2,-65,146,213
1,2417,cap2,-65,184,213
1,2417,cap2,-64,148,213
1,2417,cap2,-63,126,213
