ssid,floorid,roomid,channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2,334,111,2417,2412,2412,"[-78, -77]","[-95, -94, -91]",[-58]
2,334,111,2417,2412,2417,"[-78, -77]","[-95, -94, -91]",[-53]
2,334,111,2417,2412,2427,"[-78, -77]","[-95, -94, -91]","[-77, -73, -66, -64, -62, -61]"
2,334,111,2417,2417,2412,"[-78, -77]",[-91],[-58]
2,334,111,2417,2417,2417,"[-78, -77]",[-91],[-53]
2,334,111,2417,2417,2427,"[-78, -77]",[-91],"[-77, -73, -66, -64, -62, -61]"
2,337,111,0,0,2422,[100],[100],"[-67, -66, -65]"
2,337,111,0,0,2427,[100],[100],"[-81, -79, -78]"
2,340,111,2412,0,2412,[-79],[100],"[-56, -55, -54]"
2,340,111,2412,0,2417,[-79],[100],"[-55, -49]"
2,340,111,2412,0,2422,[-79],[100],[-57]
2,340,111,2412,0,2427,[-79],[100],"[-68, -66, -64, -63, -61]"
2,343,111,2412,2412,2412,[-86],[-88],"[-58, -57, -56]"
2,343,111,2412,2412,2427,[-86],[-88],"[-71, -70, -67, -63, -62]"
2,343,111,2417,2412,2412,[-76],[-88],"[-58, -57, -56]"
2,343,111,2417,2412,2427,[-76],[-88],"[-71, -70, -67, -63, -62]"
2,343,111,2422,2412,2412,[-90],[-88],"[-58, -57, -56]"
2,343,111,2422,2412,2427,[-90],[-88],"[-71, -70, -67, -63, -62]"
2,346,111,2417,0,2412,"[-88, -80]",[100],"[-55, -54]"
2,346,111,2417,0,2417,"[-88, -80]",[100],"[-50, -49]"
2,346,111,2417,0,2427,"[-88, -80]",[100],"[-70, -67, -65, -63, -62, -61, -60]"
2,349,111,2412,0,2412,[-88],[100],[-51]
2,349,111,2412,0,2417,[-88],[100],"[-48, -46]"
2,349,111,2412,0,2422,[-88],[100],[-62]
2,349,111,2412,0,2427,[-88],[100],"[-73, -68, -66, -63, -61, -59]"
2,349,111,2417,0,2412,"[-78, -77, -76]",[100],[-51]
2,349,111,2417,0,2417,"[-78, -77, -76]",[100],"[-48, -46]"
2,349,111,2417,0,2422,"[-78, -77, -76]",[100],[-62]
2,349,111,2417,0,2427,"[-78, -77, -76]",[100],"[-73, -68, -66, -63, -61, -59]"
2,352,111,0,0,2412,[100],[100],[-64]
2,352,111,0,0,2417,[100],[100],"[-64, -63, -61]"
2,352,111,0,0,2422,[100],[100],"[-69, -68, -67, -66]"
2,352,111,0,0,2427,[100],[100],[-77]
2,355,111,0,0,2417,[100],[100],"[-59, -56]"
2,355,111,0,0,2422,[100],[100],[-56]
2,355,111,0,0,2427,[100],[100],"[-73, -70, -68, -67, -65]"
2,358,111,2412,2412,2412,[-79],"[-94, -92]","[-48, -46]"
2,358,111,2412,2412,2422,[-79],"[-94, -92]","[-49, -44]"
2,358,111,2412,2412,2427,[-79],"[-94, -92]",[-58]
2,358,111,2412,2412,2432,[-79],"[-94, -92]",[-91]
2,358,111,2412,2412,2437,[-79],"[-94, -92]","[-80, -79]"
2,358,111,2417,2412,2412,"[-83, -79, -77, -76, -75]","[-94, -92]","[-48, -46]"
2,358,111,2417,2412,2422,"[-83, -79, -77, -76, -75]","[-94, -92]","[-49, -44]"
2,358,111,2417,2412,2427,"[-83, -79, -77, -76, -75]","[-94, -92]",[-58]
2,358,111,2417,2412,2432,"[-83, -79, -77, -76, -75]","[-94, -92]",[-91]
2,358,111,2417,2412,2437,"[-83, -79, -77, -76, -75]","[-94, -92]","[-80, -79]"
2,361,111,2412,2412,2412,[-84],"[-95, -93]",[-52]
2,361,111,2412,2412,2417,[-84],"[-95, -93]","[-51, -45]"
2,361,111,2412,2412,2427,[-84],"[-95, -93]","[-61, -60, -59, -58, -56]"
2,361,111,2412,2417,2412,[-84],[-86],[-52]
2,361,111,2412,2417,2417,[-84],[-86],"[-51, -45]"
2,361,111,2412,2417,2427,[-84],[-86],"[-61, -60, -59, -58, -56]"
2,361,111,2417,2412,2412,"[-93, -83, -82, -78, -75]","[-95, -93]",[-52]
2,361,111,2417,2412,2417,"[-93, -83, -82, -78, -75]","[-95, -93]","[-51, -45]"
2,361,111,2417,2412,2427,"[-93, -83, -82, -78, -75]","[-95, -93]","[-61, -60, -59, -58, -56]"
2,361,111,2417,2417,2412,"[-93, -83, -82, -78, -75]",[-86],[-52]
