channel_cap1,channel_cap2,channel_cap3,signal_strength_cap1,signal_strength_cap2,signal_strength_cap3
2447.0,2427.0,2437.0,-57.0,-67.0,-88.0
2442.0,2437.0,2437.0,-53.0,-60.0,-91.0
0.0,2437.0,2442.0,0.0,-58.0,-90.0
2442.0,2437.0,2432.0,-50.0,-54.0,-89.0
2442.0,2427.0,2432.0,-60.0,-71.0,-89.0
2442.0,2442.0,2437.0,-63.0,-68.0,-95.0
2442.0,2442.0,2437.0,-63.0,-68.0,-93.0
2442.0,2447.0,0.0,-59.0,-72.0,0.0
2432.0,2437.0,2437.0,-61.0,-72.0,-91.0
2427.0,2437.0,2437.0,-69.0,-65.0,-90.0
2442.0,2437.0,2437.0,-52.0,-59.0,-85.0
0.0,2432.0,2437.0,0.0,-61.0,-89.0
2452.0,2437.0,2437.0,-65.0,-55.0,-88.0
0.0,2427.0,2437.0,0.0,-63.0,-89.0
0.0,2437.0,2432.0,0.0,-70.0,-85.0
2442.0,2432.0,2432.0,-62.0,-72.0,-88.0
2442.0,2442.0,2437.0,-62.0,-68.0,-94.0
2447.0,2442.0,2437.0,-58.0,-70.0,-92.0
2437.0,2432.0,2437.0,-64.0,-68.0,-95.0
2442.0,2432.0,2437.0,-61.0,-70.0,-92.0
2452.0,2437.0,2432.0,-67.0,-65.0,-75.0
2442.0,2432.0,2437.0,-48.0,-55.0,-86.0
2442.0,2437.0,2432.0,-48.0,-64.0,-85.0
0.0,2437.0,2437.0,0.0,-73.0,-81.0
2442.0,2437.0,2432.0,-57.0,-69.0,-88.0
2442.0,2437.0,2432.0,-63.0,-62.0,-87.0
2442.0,2432.0,2432.0,-55.0,-69.0,-83.0
2442.0,2437.0,2432.0,-52.0,-63.0,-82.0
2442.0,2442.0,2442.0,-62.0,-68.0,-84.0
2442.0,2432.0,2437.0,-50.0,-71.0,-87.0
0.0,2432.0,2442.0,0.0,-62.0,-86.0
2447.0,2437.0,2432.0,-54.0,-67.0,-83.0
2442.0,2432.0,2437.0,-50.0,-67.0,-84.0
0.0,2427.0,2437.0,0.0,-80.0,-89.0
2432.0,2427.0,2437.0,-66.0,-72.0,-91.0
2442.0,2427.0,2442.0,-61.0,-72.0,-87.0
2437.0,2427.0,2432.0,-57.0,-79.0,-90.0
2432.0,2437.0,2432.0,-62.0,-75.0,-84.0
2442.0,2432.0,2427.0,-60.0,-68.0,-87.0
2442.0,2427.0,2432.0,-62.0,-73.0,-84.0
2437.0,2437.0,2442.0,-56.0,-71.0,-73.0
2437.0,2432.0,2442.0,-52.0,-63.0,-80.0
2442.0,2432.0,2442.0,-50.0,-60.0,-82.0
0.0,2437.0,2427.0,0.0,-70.0,-80.0
2442.0,2437.0,2437.0,-68.0,-83.0,-90.0
2442.0,2437.0,2437.0,-64.0,-78.0,-91.0
2442.0,2437.0,2437.0,-60.0,-70.0,-84.0
2442.0,2437.0,2437.0,-64.0,-65.0,-90.0
2442.0,2427.0,2437.0,-59.0,-73.0,-88.0
2437.0,2437.0,2437.0,-62.0,-71.0,-81.0
2442.0,2437.0,2437.0,-60.0,-68.0,-80.0
2442.0,2447.0,2432.0,-56.0,-68.0,-75.0
2442.0,2442.0,2437.0,-53.0,-56.0,-82.0
2437.0,2437.0,2437.0,-54.0,-66.0,-83.0
2442.0,2437.0,2437.0,-65.0,-75.0,-91.0
2442.0,2437.0,2437.0,-57.0,-63.0,-87.0
2437.0,2437.0,2432.0,-61.0,-72.0,-82.0
2442.0,2442.0,2442.0,-46.0,-67.0,-81.0
2432.0,2442.0,2442.0,-55.0,-62.0,-81.0
2442.0,2442.0,2432.0,-63.0,-71.0,-77.0
2442.0,2427.0,2437.0,-57.0,-69.0,-83.0
