ssid,floorid,source,channel,signal_strength
2,298,cap3,2422,1
2,301,cap3,2412,1
2,301,cap3,2417,2
2,301,cap3,2427,3
2,304,cap3,2412,1
2,304,cap3,2417,2
2,304,cap3,2427,3
2,307,cap3,2427,2
2,313,cap3,2412,1
2,313,cap3,2417,1
2,313,cap3,2422,3
2,316,cap1,2417,3
2,316,cap1,2422,3
2,316,cap2,2412,1
2,316,cap3,2417,2
2,316,cap3,2427,3
2,319,cap3,2412,1
2,319,cap3,2427,4
2,322,cap3,2412,1
2,322,cap3,2417,2
2,322,cap3,2422,2
2,325,cap3,2412,1
2,325,cap3,2417,1
2,328,cap1,2417,4
2,328,cap3,2417,3
2,328,cap3,2427,1
2,331,cap1,2417,1
2,331,cap3,2412,2
2,331,cap3,2417,1
2,331,cap3,2427,3
2,334,cap1,2417,2
2,334,cap2,2412,3
2,334,cap2,2417,1
2,334,cap3,2417,1
2,334,cap3,2427,1
2,337,cap3,2422,3
2,337,cap3,2427,1
2,340,cap1,2412,1
2,340,cap3,2412,2
2,340,cap3,2427,2
2,343,cap1,2412,1
2,343,cap1,2417,1
2,343,cap1,2422,1
2,343,cap2,2412,1
2,343,cap3,2412,3
2,343,cap3,2427,3
2,346,cap1,2417,2
2,346,cap3,2412,2
2,346,cap3,2427,4
2,349,cap1,2412,1
2,349,cap1,2417,2
2,349,cap3,2412,1
2,349,cap3,2417,2
2,349,cap3,2427,4
2,352,cap3,2417,1
2,352,cap3,2422,2
2,352,cap3,2427,1
2,355,cap3,2417,1
2,355,cap3,2422,1
2,355,cap3,2427,2
2,358,cap1,2412,1
2,358,cap1,2417,5
2,358,cap2,2412,2
2,358,cap3,2412,1
2,358,cap3,2422,2
2,358,cap3,2427,1
2,361,cap1,2412,1
2,361,cap1,2417,5
2,361,cap2,2412,2
2,361,cap2,2417,1
2,361,cap3,2412,1
2,361,cap3,2417,1
2,361,cap3,2427,3
2,364,cap1,2412,1
2,364,cap1,2417,2
2,364,cap1,2422,1
2,364,cap2,2412,1
2,364,cap3,2437,2
2,367,cap1,2417,1
2,367,cap3,2412,2
2,367,cap3,2432,1
2,370,cap1,2412,2
2,370,cap1,2417,1
