timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:54:00,-73.0,,-75.0
2024-04-11 15:54:02,-73.0,,-75.0
2024-04-11 15:54:03,-73.0,,-75.0
2024-04-11 15:54:04,,,-75.0
2024-04-11 15:54:06,,,-75.0
2024-04-11 15:54:07,,,-75.0
2024-04-11 15:54:08,,,-75.0
2024-04-11 15:54:10,,,-75.0
2024-04-11 15:54:12,,-76.0,-72.0
2024-04-11 15:54:13,,-76.0,
2024-04-11 15:54:14,,-76.0,-72.0
2024-04-11 15:54:16,,-76.0,-72.0
2024-04-11 15:54:21,,-77.0,
2024-04-11 15:54:22,,-77.0,
2024-04-11 15:54:23,,-77.0,
2024-04-11 15:54:25,,-77.0,
2024-04-11 15:54:26,-73.0,-77.0,-74.0
2024-04-11 15:54:27,,-77.0,-74.0
2024-04-11 15:54:29,,-78.0,
2024-04-11 15:54:30,-73.0,,-73.0
2024-04-11 15:54:34,-72.0,,-75.0
2024-04-11 15:54:35,,,-75.0
2024-04-11 15:54:37,,,-75.0
2024-04-11 15:54:38,,,-74.0
2024-04-11 15:54:47,,-77.0,
2024-04-11 15:54:48,,-77.0,
2024-04-11 15:54:49,,-77.0,
2024-04-11 15:54:50,-74.0,,
2024-04-11 15:54:52,-74.0,,
2024-04-11 15:54:53,-74.0,,
2024-04-11 15:54:54,-75.0,,
2024-04-11 15:54:56,-75.0,,
2024-04-11 15:54:57,-75.0,,
2024-04-11 15:54:58,,-76.0,
2024-04-11 15:54:59,,-76.0,
2024-04-11 15:55:01,,-76.0,
2024-04-11 15:55:02,-74.0,-76.0,-77.0
2024-04-11 15:55:03,,,-77.0
2024-04-11 15:55:05,,,-77.0
2024-04-11 15:55:06,,,-77.0
2024-04-11 15:55:11,-74.0,,
2024-04-11 15:55:12,-74.0,,
2024-04-11 15:55:14,-74.0,,
2024-04-11 15:55:19,-74.0,-76.0,
2024-04-11 15:55:20,-74.0,-76.0,
2024-04-11 15:55:21,,-76.0,
2024-04-11 15:55:23,,-76.0,
2024-04-11 15:55:24,,-76.0,
2024-04-11 15:55:25,,-76.0,
2024-04-11 15:55:27,-74.0,-78.0,
2024-04-11 15:55:28,,-78.0,
2024-04-11 15:55:29,,-78.0,
2024-04-11 15:55:30,,-78.0,
2024-04-11 15:55:32,,-78.0,
2024-04-11 15:55:33,,,-75.0
2024-04-11 15:55:34,-73.0,,
2024-04-11 15:55:36,,-77.0,-77.0
2024-04-11 15:55:40,,-78.0,
2024-04-11 15:55:41,-74.0,,
2024-04-11 15:56:05,-72.0,-77.0,
2024-04-11 15:56:06,-72.0,-77.0,
2024-04-11 15:56:07,,-77.0,
2024-04-11 15:56:09,-72.0,-77.0,-74.0
2024-04-11 15:56:10,,-77.0,-74.0
2024-04-11 15:56:11,,-77.0,
2024-04-11 15:56:12,-74.0,-77.0,-74.0
2024-04-11 15:56:16,-73.0,,
2024-04-11 15:56:17,-73.0,,
2024-04-11 15:56:19,-73.0,,
2024-04-11 15:56:20,-73.0,,
2024-04-11 15:56:21,,-78.0,
2024-04-11 15:56:22,,-78.0,
2024-04-11 15:56:24,,-78.0,
2024-04-11 15:56:25,,-78.0,
2024-04-11 15:56:26,,-78.0,
2024-04-11 15:56:27,,-78.0,
2024-04-11 15:56:29,,-78.0,
2024-04-11 15:56:30,,,-76.0
2024-04-11 15:56:35,,-79.0,-73.0
2024-04-11 15:56:44,,,-74.0
2024-04-11 15:56:45,,,-74.0
2024-04-11 15:56:47,,,-74.0
2024-04-11 15:56:48,,,-74.0
2024-04-11 15:56:49,,-78.0,
2024-04-11 15:56:50,,-78.0,
2024-04-11 15:56:52,,-78.0,
