timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T
2024-04-11 15:53:11,,,,-64.0
2024-04-11 15:53:24,,,,-68.0
2024-04-11 15:53:25,,,,-68.0
2024-04-11 15:53:28,,,-63.0,-60.0
2024-04-11 15:53:31,,,,-60.0
2024-04-11 15:53:32,,,-84.0,
2024-04-11 15:53:37,,,-66.0,
2024-04-11 15:53:38,-59.0,-53.0,,
2024-04-11 15:53:39,-59.0,-53.0,,
2024-04-11 15:53:42,,-55.0,,
2024-04-11 15:53:43,,-55.0,,
2024-04-11 15:53:46,,,-77.0,
2024-04-11 15:53:54,,,-86.0,
2024-04-11 15:53:59,,,-74.0,
2024-04-11 15:54:02,,,-76.0,
2024-04-11 15:54:03,-65.0,,,
2024-04-11 15:54:04,-65.0,,,
2024-04-11 15:54:08,-65.0,,,
2024-04-11 15:54:10,-65.0,,,
2024-04-11 15:54:12,,,-85.0,
2024-04-11 15:54:18,,,-69.0,
2024-04-11 15:54:22,,,-84.0,
2024-04-11 15:54:26,-67.0,-56.0,,-66.0
2024-04-11 15:54:29,-67.0,-56.0,,-66.0
2024-04-11 15:54:36,-64.0,,,-65.0
2024-04-11 15:54:37,-64.0,,,
2024-04-11 15:54:39,-64.0,,,-65.0
2024-04-11 15:54:45,-63.0,,-81.0,
2024-04-11 15:54:47,-63.0,,,
2024-04-11 15:54:48,-63.0,,,
2024-04-11 15:54:50,-64.0,,,
2024-04-11 15:54:53,-64.0,,,
2024-04-11 15:54:54,-64.0,,,
2024-04-11 15:54:56,-64.0,,,
2024-04-11 15:54:57,-64.0,,,
2024-04-11 15:54:59,,,-77.0,-67.0
2024-04-11 15:55:01,,,,-67.0
2024-04-11 15:55:03,,-55.0,,-67.0
2024-04-11 15:55:05,,-55.0,,
2024-04-11 15:55:06,,-55.0,,
2024-04-11 15:55:10,-64.0,-52.0,,
2024-04-11 15:55:11,-64.0,,,
2024-04-11 15:55:12,-64.0,,,
2024-04-11 15:55:20,-64.0,,,
2024-04-11 15:55:23,,,-68.0,
2024-04-11 15:55:28,-62.0,,,-64.0
2024-04-11 15:55:29,-62.0,,,-64.0
2024-04-11 15:55:32,-63.0,,,
2024-04-11 15:55:33,-63.0,,,
2024-04-11 15:55:34,-63.0,,,
2024-04-11 15:55:36,,-55.0,,-68.0
2024-04-11 15:55:37,,-55.0,,-68.0
2024-04-11 15:55:38,,-55.0,,-68.0
2024-04-11 15:55:40,-74.0,,,
2024-04-11 15:55:43,-74.0,,,
2024-04-11 15:55:44,-73.0,-56.0,,
2024-04-11 15:55:47,-73.0,-56.0,,
2024-04-11 15:55:48,,-56.0,,
2024-04-11 15:55:49,,-56.0,,
2024-04-11 15:55:51,,-56.0,,
2024-04-11 15:55:57,,,-82.0,
2024-04-11 15:56:05,,,-70.0,
2024-04-11 15:56:20,-63.0,,,-66.0
2024-04-11 15:56:21,-63.0,,,-66.0
2024-04-11 15:56:22,-63.0,,,-66.0
2024-04-11 15:56:30,-65.0,,,
2024-04-11 15:56:31,-65.0,,,
2024-04-11 15:56:32,-65.0,,,
2024-04-11 15:56:34,,,-83.0,
2024-04-11 15:56:57,-67.0,,,
2024-04-11 15:57:03,-56.0,-52.0,,-66.0
2024-04-11 15:57:04,-56.0,,,-66.0
2024-04-11 15:57:06,-56.0,,,-66.0
2024-04-11 15:57:07,-56.0,,,-66.0
2024-04-11 15:57:17,,,-86.0,
2024-04-11 15:57:21,,-56.0,,
2024-04-11 15:57:22,,-56.0,,
2024-04-11 15:57:24,,-56.0,,
2024-04-11 15:57:25,,-56.0,,
2024-04-11 15:57:37,,-54.0,,
2024-04-11 15:57:43,-59.0,,,
2024-04-11 15:57:44,-59.0,,,
2024-04-11 15:57:51,-65.0,,-77.0,
2024-04-11 15:57:52,-65.0,,,
2024-04-11 15:57:53,-65.0,,,
