timestamp,Realme_6Pro,RedmiNote_11,TechnoCamon_20,Vivo_Y21T,Xiaomipoco_X3
2024-04-11 15:54:44,,-65.0,,,
2024-04-11 15:54:47,,-59.0,,,
2024-04-11 15:54:48,,-59.0,,,
2024-04-11 15:54:50,,-63.0,,,
2024-04-11 15:54:53,,-63.0,,,
2024-04-11 15:54:54,,-66.0,,,
2024-04-11 15:54:56,,-66.0,,,
2024-04-11 15:54:57,,-66.0,,,
2024-04-11 15:54:59,-74.0,-67.0,,,
2024-04-11 15:55:01,-74.0,-67.0,,,
2024-04-11 15:55:03,-74.0,-67.0,,,
2024-04-11 15:55:10,,-63.0,,,
2024-04-11 15:55:11,,-63.0,,,
2024-04-11 15:55:12,,-63.0,,,
2024-04-11 15:55:15,,-67.0,,,
2024-04-11 15:55:16,,-67.0,,,
2024-04-11 15:55:23,-79.0,-75.0,,-76.0,
2024-04-11 15:55:24,-79.0,-75.0,,-76.0,
2024-04-11 15:55:27,-79.0,-75.0,,-76.0,
2024-04-11 15:55:28,,-70.0,,,
2024-04-11 15:55:29,,-70.0,,,
2024-04-11 15:55:35,,,-58.0,,-76.0
2024-04-11 15:55:36,-78.0,,,,
2024-04-11 15:55:37,-78.0,,,,
2024-04-11 15:55:38,-78.0,,,,
2024-04-11 15:55:40,,-75.0,,,
2024-04-11 15:55:42,,-75.0,,,
2024-04-11 15:55:48,-80.0,,,,-75.0
2024-04-11 15:55:49,-80.0,,,,
2024-04-11 15:55:51,-80.0,,,,
2024-04-11 15:55:57,,-63.0,,,
2024-04-11 15:55:58,,-63.0,,,
2024-04-11 15:56:00,,-63.0,,,
2024-04-11 15:56:01,,-66.0,,-76.0,
2024-04-11 15:56:04,,-66.0,,-76.0,
2024-04-11 15:56:06,,-71.0,,,-80.0
2024-04-11 15:56:08,,-71.0,,,
2024-04-11 15:56:10,,-71.0,,,
2024-04-11 15:56:20,,-63.0,,,
2024-04-11 15:56:21,,-63.0,,,
2024-04-11 15:56:22,,-63.0,,,
2024-04-11 15:56:24,,-63.0,,,
2024-04-11 15:56:26,,,,-81.0,
2024-04-11 15:56:27,,,,-81.0,
2024-04-11 15:56:30,,-68.0,,,
2024-04-11 15:56:31,,-68.0,,,
2024-04-11 15:56:32,,-68.0,,,
2024-04-11 15:56:36,,-63.0,,,
2024-04-11 15:56:39,,-63.0,,,-75.0
2024-04-11 15:56:40,,-63.0,,,
2024-04-11 15:56:44,,-75.0,,,
2024-04-11 15:56:46,,-75.0,,,
2024-04-11 15:56:48,-79.0,-76.0,,,
2024-04-11 15:56:49,-79.0,-76.0,,,
2024-04-11 15:56:50,-79.0,-76.0,,,
2024-04-11 15:56:53,,-65.0,,,
2024-04-11 15:56:54,,-65.0,,,
2024-04-11 15:56:56,,-65.0,,,
2024-04-11 15:56:58,-73.0,-72.0,,,
2024-04-11 15:56:59,-73.0,-72.0,,,
2024-04-11 15:57:03,,-61.0,,,
2024-04-11 15:57:04,,-61.0,,,
2024-04-11 15:57:06,,-61.0,,,
2024-04-11 15:57:07,,-61.0,,,
2024-04-11 15:57:10,-74.0,-69.0,,,
2024-04-11 15:57:11,-74.0,-69.0,,,
2024-04-11 15:57:13,-74.0,-69.0,,,
2024-04-11 15:57:14,,-64.0,-56.0,,-77.0
2024-04-11 15:57:15,,-64.0,,,
2024-04-11 15:57:16,,-64.0,,,
2024-04-11 15:57:20,,-69.0,,-86.0,
2024-04-11 15:57:22,,,,,-92.0
2024-04-11 15:57:30,,-68.0,,,
2024-04-11 15:57:32,-70.0,-63.0,,-83.0,
2024-04-11 15:57:34,-70.0,-63.0,,-83.0,
