timestamp,TechnoCamon_20,Xiaomi_10T,Xiaomipoco_X3
2024-04-11 15:55:33,,-73.0,-60.0
2024-04-11 15:55:34,,,-60.0
2024-04-11 15:55:38,-53.0,,-60.0
2024-04-11 15:55:39,-53.0,,-60.0
2024-04-11 15:55:42,-55.0,,
2024-04-11 15:55:43,-55.0,,
2024-04-11 15:55:45,,-73.0,-59.0
2024-04-11 15:55:47,,,-59.0
2024-04-11 15:55:49,,,-65.0
2024-04-11 15:55:51,,,-65.0
2024-04-11 15:55:52,,,-65.0
2024-04-11 15:55:55,-56.0,,
2024-04-11 15:55:56,-56.0,,
2024-04-11 15:55:58,,,-58.0
2024-04-11 15:56:00,,,-58.0
2024-04-11 15:56:01,,,-58.0
2024-04-11 15:56:04,-55.0,,-58.0
2024-04-11 15:56:05,,,-58.0
2024-04-11 15:56:08,-52.0,,-63.0
2024-04-11 15:56:09,,,-63.0
2024-04-11 15:56:12,-53.0,-70.0,-63.0
2024-04-11 15:56:22,-55.0,,-60.0
2024-04-11 15:56:27,,,-63.0
2024-04-11 15:56:29,,,-63.0
2024-04-11 15:56:31,-56.0,,
2024-04-11 15:56:40,-57.0,,-62.0
2024-04-11 15:56:41,-57.0,,
2024-04-11 15:56:43,-57.0,,
2024-04-11 15:56:45,-56.0,,-61.0
2024-04-11 15:56:46,-56.0,,-61.0
2024-04-11 15:56:48,-56.0,,-61.0
2024-04-11 15:56:50,,,-60.0
2024-04-11 15:56:52,,,-60.0
2024-04-11 15:56:53,,,-60.0
2024-04-11 15:56:54,,,-59.0
2024-04-11 15:56:55,,,-59.0
2024-04-11 15:56:57,,,-59.0
2024-04-11 15:56:59,,-73.0,
2024-04-11 15:57:06,-52.0,,-61.0
2024-04-11 15:57:07,-52.0,,-61.0
2024-04-11 15:57:08,-52.0,,-61.0
2024-04-11 15:57:09,,,-61.0
2024-04-11 15:57:11,-56.0,,-59.0
2024-04-11 15:57:12,-56.0,,-59.0
2024-04-11 15:57:25,,,-65.0
2024-04-11 15:57:26,,,-65.0
2024-04-11 15:57:28,,,-65.0
2024-04-11 15:57:30,-56.0,,-62.0
2024-04-11 15:57:31,-56.0,,-62.0
2024-04-11 15:57:32,-56.0,,-62.0
2024-04-11 15:57:34,,,-62.0
2024-04-11 15:57:35,-56.0,,-58.0
2024-04-11 15:57:36,,,-58.0
2024-04-11 15:57:37,,,-58.0
2024-04-11 15:57:44,,-74.0,-60.0
2024-04-11 15:57:45,,,-60.0
2024-04-11 15:57:57,-57.0,,
2024-04-11 15:57:59,-57.0,,
2024-04-11 15:58:02,,-70.0,-65.0
2024-04-11 15:58:04,,,-65.0
2024-04-11 15:58:16,-56.0,,
2024-04-11 15:58:17,-56.0,,
2024-04-11 15:58:19,-56.0,,
2024-04-11 15:58:20,-56.0,,-59.0
2024-04-11 15:58:21,-56.0,,-59.0
2024-04-11 15:58:22,-56.0,,-59.0
2024-04-11 15:58:34,-56.0,,-59.0
2024-04-11 15:58:36,-56.0,,-59.0
2024-04-11 15:58:42,-57.0,-73.0,-60.0
2024-04-11 15:58:43,,-73.0,-60.0
2024-04-11 15:58:45,,-73.0,
2024-04-11 15:58:46,,-75.0,-62.0
2024-04-11 15:58:47,,-75.0,-62.0
2024-04-11 15:58:49,,-75.0,
2024-04-11 15:58:50,-57.0,,-60.0
2024-04-11 15:58:51,-57.0,,-60.0
2024-04-11 15:58:54,-61.0,,
2024-04-11 15:58:55,-61.0,,
2024-04-11 15:58:56,-61.0,,
2024-04-11 15:58:59,,,-61.0
2024-04-11 15:59:00,,,-61.0
2024-04-11 15:59:07,-52.0,,
2024-04-11 15:59:08,-52.0,,
2024-04-11 15:59:09,-52.0,,
2024-04-11 15:59:12,,,-59.0
2024-04-11 15:59:13,,,-59.0
2024-04-11 15:59:18,,,-62.0
2024-04-11 15:59:20,,,-62.0
2024-04-11 15:59:26,-56.0,,-59.0
2024-04-11 15:59:27,-56.0,,-59.0
2024-04-11 15:59:29,-56.0,,-59.0
2024-04-11 15:59:33,-57.0,,-59.0
2024-04-11 15:59:34,-57.0,,-59.0
2024-04-11 15:59:35,-57.0,,-59.0
2024-04-11 15:59:38,,,-60.0
2024-04-11 15:59:39,,,-60.0
2024-04-11 15:59:42,,,-61.0
2024-04-11 15:59:43,,,-61.0
2024-04-11 15:59:44,,,-61.0
2024-04-11 15:59:47,,-72.0,
2024-04-11 15:59:52,,-72.0,-60.0
2024-04-11 15:59:53,,,-60.0
2024-04-11 15:59:54,,,-60.0
2024-04-11 15:59:56,,,-60.0
2024-04-11 15:59:57,,,-61.0
2024-04-11 15:59:58,,,-61.0
2024-04-11 15:59:59,,,-61.0
2024-04-11 16:00:01,,,-61.0
2024-04-11 16:00:04,,,-62.0
2024-04-11 16:00:06,,,-62.0
2024-04-11 16:00:07,,,-62.0
2024-04-11 16:00:12,,,-59.0
2024-04-11 16:00:13,,,-59.0
2024-04-11 16:00:14,,,-59.0
2024-04-11 16:00:16,,,-59.0
2024-04-11 16:00:17,,,-62.0
2024-04-11 16:00:18,,,-62.0
2024-04-11 16:00:20,,,-62.0
2024-04-11 16:00:21,,,-60.0
2024-04-11 16:00:22,,,-60.0
2024-04-11 16:00:30,,-69.0,
2024-04-11 16:00:34,,,-64.0
2024-04-11 16:00:35,,,-64.0
2024-04-11 16:00:43,,,-59.0
2024-04-11 16:00:45,,,-59.0
2024-04-11 16:00:46,,,-59.0
2024-04-11 16:00:48,,-72.0,
2024-04-11 16:00:52,,,-60.0
2024-04-11 16:00:54,,,-60.0
2024-04-11 16:00:55,,,-60.0
2024-04-11 16:00:56,,,-60.0
2024-04-11 16:00:59,-54.0,,-63.0
2024-04-11 16:01:00,,,-63.0
2024-04-11 16:01:03,,,-63.0
2024-04-11 16:01:04,,,-63.0
2024-04-11 16:01:05,,,-63.0
2024-04-11 16:01:08,,,-59.0
2024-04-11 16:01:09,,,-59.0
2024-04-11 16:01:12,,,-59.0
2024-04-11 16:01:13,,,-59.0
2024-04-11 16:01:16,-53.0,,-62.0
2024-04-11 16:01:17,-53.0,,-62.0
2024-04-11 16:01:25,-56.0,-72.0,
2024-04-11 16:01:26,-56.0,,
2024-04-11 16:01:29,,,-59.0
2024-04-11 16:01:30,,,-59.0
2024-04-11 16:01:33,,,-57.0
2024-04-11 16:01:34,,,-57.0
2024-04-11 16:01:35,,,-57.0
2024-04-11 16:01:38,,,-58.0
2024-04-11 16:01:47,-53.0,-70.0,
2024-04-11 16:01:48,-53.0,,
2024-04-11 16:01:56,,,-65.0
2024-04-11 16:01:59,,,-65.0
2024-04-11 16:02:05,,,-61.0
2024-04-11 16:02:10,,,-60.0
2024-04-11 16:02:12,,,-60.0
2024-04-11 16:02:15,,,-61.0
2024-04-11 16:02:17,,,-61.0
2024-04-11 16:02:21,,,-58.0
2024-04-11 16:02:22,,,-58.0
2024-04-11 16:02:28,,,-58.0
2024-04-11 16:02:30,,,-58.0
2024-04-11 16:02:32,-57.0,,
2024-04-11 16:02:34,-57.0,,
2024-04-11 16:02:48,,,-58.0
2024-04-11 16:02:51,-58.0,,
2024-04-11 16:03:09,,,-58.0
2024-04-11 16:03:10,,,-58.0
2024-04-11 16:03:12,,,-58.0
2024-04-11 16:03:14,,,-59.0
2024-04-11 16:03:16,,,-59.0
2024-04-11 16:03:18,,,-58.0
2024-04-11 16:03:19,,,-58.0
2024-04-11 16:03:22,,,-56.0
2024-04-11 16:03:23,,,-56.0
2024-04-11 16:03:24,,,-56.0
2024-04-11 16:03:30,,-75.0,-60.0
2024-04-11 16:03:31,,,-60.0
2024-04-11 16:03:32,,,-60.0
2024-04-11 16:03:40,,,-60.0
