timestamp,Realme_6Pro,RedmiNote_11,Vivo_Y21T
2024-04-11 15:51:23,-65.0,-65.0,-68.0
2024-04-11 15:51:24,,-65.0,
2024-04-11 15:51:25,,-65.0,
2024-04-11 15:51:28,,-65.0,
2024-04-11 15:51:29,-58.0,-52.0,
2024-04-11 15:51:30,,-52.0,
2024-04-11 15:51:31,,-52.0,
2024-04-11 15:51:34,,-52.0,
2024-04-11 15:51:35,-62.0,,-60.0
2024-04-11 15:51:37,,,-60.0
2024-04-11 15:51:39,,,-60.0
2024-04-11 15:51:41,,,-60.0
2024-04-11 15:51:42,-54.0,-53.0,-72.0
2024-04-11 15:51:46,-59.0,-52.0,-68.0
2024-04-11 15:51:47,-59.0,-52.0,
2024-04-11 15:51:48,-59.0,-52.0,
2024-04-11 15:51:57,-59.0,,
2024-04-11 15:51:58,-59.0,,
2024-04-11 15:51:59,-59.0,,
2024-04-11 15:52:02,-59.0,,
2024-04-11 15:52:03,-65.0,,
2024-04-11 15:52:04,-65.0,,
2024-04-11 15:52:07,-65.0,-59.0,-61.0
2024-04-11 15:52:08,,-59.0,-61.0
2024-04-11 15:52:09,,-59.0,-61.0
2024-04-11 15:52:12,,-59.0,-61.0
2024-04-11 15:52:13,-61.0,,-61.0
2024-04-11 15:52:14,,,-61.0
2024-04-11 15:52:17,,,-61.0
2024-04-11 15:52:18,,,-61.0
2024-04-11 15:52:20,,-46.0,-61.0
2024-04-11 15:52:22,,-46.0,
2024-04-11 15:52:24,-59.0,-46.0,-60.0
2024-04-11 15:52:25,,-46.0,
2024-04-11 15:52:27,,-46.0,
2024-04-11 15:52:29,,,-67.0
2024-04-11 15:52:31,,,-67.0
2024-04-11 15:52:32,,,-67.0
2024-04-11 15:52:33,,-55.0,-66.0
2024-04-11 15:52:34,,-55.0,
2024-04-11 15:52:35,,,-66.0
2024-04-11 15:52:37,,,-66.0
2024-04-11 15:52:44,,-51.0,
2024-04-11 15:52:46,,-51.0,
2024-04-11 15:52:48,,-55.0,
2024-04-11 15:52:52,-58.0,,
