ssid,channel,source,signal_strength,floorid,roomid
1,2462,cap3,-60,244,111
1,2462,cap3,-59,240,111
1,2462,cap3,-59,244,111
1,2462,cap3,-59,245,111
1,2462,cap3,-58,241,111
1,2462,cap3,-58,245,111
1,2462,cap3,-57,241,111
1,2462,cap3,-55,241,111
1,2462,cap3,-54,241,111
2,2412,cap1,-94,225,111
2,2412,cap1,-93,218,111
2,2412,cap1,-93,224,111
2,2412,cap1,-93,226,111
2,2412,cap1,-93,233,111
2,2412,cap1,-93,234,111
2,2412,cap1,-92,218,111
2,2412,cap1,-92,219,111
2,2412,cap1,-92,222,111
2,2412,cap1,-92,225,111
2,2412,cap1,-92,230,111
2,2412,cap1,-92,231,111
2,2412,cap1,-92,234,111
2,2412,cap1,-92,240,111
2,2412,cap1,-92,252,111
2,2412,cap1,-92,269,111
2,2412,cap1,-92,279,111
2,2412,cap1,-92,289,111
2,2412,cap1,-91,218,111
2,2412,cap1,-91,219,111
2,2412,cap1,-91,224,111
2,2412,cap1,-91,228,111
2,2412,cap1,-91,231,111
2,2412,cap1,-91,239,111
2,2412,cap1,-91,249,111
2,2412,cap1,-91,253,111
2,2412,cap1,-91,257,111
2,2412,cap1,-91,289,111
2,2412,cap1,-90,221,111
2,2412,cap1,-90,222,111
2,2412,cap1,-90,225,111
2,2412,cap1,-90,227,111
2,2412,cap1,-90,228,111
2,2412,cap1,-90,234,111
2,2412,cap1,-90,239,111
2,2412,cap1,-90,255,111
2,2412,cap1,-90,256,111
2,2412,cap1,-90,257,111
2,2412,cap1,-90,269,111
2,2412,cap1,-90,271,111
2,2412,cap1,-90,272,111
2,2412,cap1,-90,285,111
2,2412,cap1,-90,311,111
2,2412,cap1,-90,312,111
2,2412,cap1,-89,218,111
2,2412,cap1,-89,219,111
2,2412,cap1,-89,223,111
2,2412,cap1,-89,224,111
2,2412,cap1,-89,225,111
2,2412,cap1,-89,228,111
2,2412,cap1,-89,229,111
2,2412,cap1,-89,230,111
2,2412,cap1,-89,245,111
2,2412,cap1,-89,256,111
2,2412,cap1,-89,257,111
2,2412,cap1,-89,258,111
2,2412,cap1,-89,263,111
2,2412,cap1,-89,267,111
2,2412,cap1,-89,268,111
2,2412,cap1,-89,269,111
2,2412,cap1,-89,274,111
2,2412,cap1,-89,276,111
2,2412,cap1,-89,279,111
2,2412,cap1,-89,285,111
2,2412,cap1,-88,219,111
2,2412,cap1,-88,224,111
2,2412,cap1,-88,227,111
2,2412,cap1,-88,229,111
2,2412,cap1,-88,231,111
2,2412,cap1,-88,233,111
2,2412,cap1,-88,240,111
2,2412,cap1,-88,241,111
2,2412,cap1,-88,244,111
2,2412,cap1,-88,245,111
2,2412,cap1,-88,247,111
2,2412,cap1,-88,252,111
2,2412,cap1,-88,254,111
2,2412,cap1,-88,255,111
2,2412,cap1,-88,257,111
2,2412,cap1,-88,267,111
2,2412,cap1,-88,269,111
2,2412,cap1,-88,271,111
2,2412,cap1,-88,279,111
2,2412,cap1,-88,280,111
2,2412,cap1,-88,282,111
2,2412,cap1,-88,320,111
2,2412,cap1,-88,349,111
2,2412,cap1,-88,370,111
2,2412,cap1,-87,220,111
2,2412,cap1,-87,228,111
2,2412,cap1,-87,229,111
2,2412,cap1,-87,233,111
2,2412,cap1,-87,238,111
2,2412,cap1,-87,241,111
2,2412,cap1,-87,243,111
2,2412,cap1,-87,258,111
2,2412,cap1,-87,261,111
2,2412,cap1,-87,268,111
2,2412,cap1,-87,280,111
2,2412,cap1,-87,281,111
2,2412,cap1,-87,284,111
2,2412,cap1,-87,295,111
2,2412,cap1,-87,305,111
2,2412,cap1,-86,221,111
2,2412,cap1,-86,229,111
2,2412,cap1,-86,248,111
2,2412,cap1,-86,249,111
2,2412,cap1,-86,255,111
2,2412,cap1,-86,261,111
2,2412,cap1,-86,262,111
2,2412,cap1,-86,263,111
2,2412,cap1,-86,267,111
2,2412,cap1,-86,268,111
2,2412,cap1,-86,269,111
2,2412,cap1,-86,271,111
2,2412,cap1,-86,282,111
2,2412,cap1,-86,283,111
2,2412,cap1,-86,284,111
2,2412,cap1,-86,306,111
2,2412,cap1,-86,343,111
2,2412,cap1,-86,372,111
2,2412,cap1,-86,373,111
2,2412,cap1,-85,65,214
2,2412,cap1,-85,247,111
2,2412,cap1,-85,258,111
2,2412,cap1,-85,265,111
2,2412,cap1,-85,271,111
2,2412,cap1,-85,272,111
2,2412,cap1,-85,282,111
2,2412,cap1,-85,283,111
2,2412,cap1,-85,315,111
2,2412,cap1,-85,317,111
2,2412,cap1,-85,372,111
2,2412,cap1,-84,55,214
2,2412,cap1,-84,220,111
2,2412,cap1,-84,229,111
2,2412,cap1,-84,237,111
2,2412,cap1,-84,255,111
2,2412,cap1,-84,258,111
2,2412,cap1,-84,265,111
2,2412,cap1,-84,268,111
2,2412,cap1,-84,361,111
2,2412,cap1,-83,73,214
2,2412,cap1,-83,241,111
2,2412,cap1,-83,255,111
2,2412,cap1,-83,267,111
2,2412,cap1,-83,293,111
2,2412,cap1,-83,363,111
2,2412,cap1,-83,364,111
2,2412,cap1,-82,19,214
2,2412,cap1,-82,56,214
2,2412,cap1,-82,258,111
2,2412,cap1,-82,261,111
2,2412,cap1,-82,303,111
2,2412,cap1,-82,315,111
2,2412,cap1,-82,332,111
2,2412,cap1,-82,342,111
2,2412,cap1,-81,56,214
2,2412,cap1,-81,370,111
2,2412,cap1,-81,372,111
2,2412,cap1,-79,56,214
2,2412,cap1,-79,65,214
2,2412,cap1,-79,340,111
2,2412,cap1,-79,358,111
2,2412,cap1,-78,73,214
2,2412,cap1,-76,72,214
2,2412,cap1,-75,67,214
2,2412,cap1,-74,72,214
2,2412,cap1,-74,376,111
2,2412,cap1,-73,72,214
2,2412,cap2,-99,350,111
2,2412,cap2,-98,320,111
2,2412,cap2,-98,332,111
2,2412,cap2,-98,371,111
2,2412,cap2,-97,225,111
2,2412,cap2,-97,295,111
2,2412,cap2,-97,320,111
2,2412,cap2,-97,341,111
2,2412,cap2,-97,353,111
2,2412,cap2,-97,362,111
2,2412,cap2,-97,371,111
2,2412,cap2,-97,373,111
2,2412,cap2,-96,221,111
2,2412,cap2,-96,260,111
2,2412,cap2,-96,268,111
2,2412,cap2,-96,353,111
2,2412,cap2,-96,370,111
2,2412,cap2,-96,373,111
2,2412,cap2,-95,221,111
2,2412,cap2,-95,295,111
2,2412,cap2,-95,316,111
2,2412,cap2,-95,334,111
2,2412,cap2,-95,339,111
2,2412,cap2,-95,361,111
2,2412,cap2,-95,362,111
2,2412,cap2,-95,366,111
2,2412,cap2,-94,334,111
2,2412,cap2,-94,358,111
2,2412,cap2,-94,362,111
2,2412,cap2,-94,363,111
2,2412,cap2,-94,366,111
2,2412,cap2,-93,275,111
2,2412,cap2,-93,356,111
2,2412,cap2,-93,357,111
2,2412,cap2,-93,361,111
2,2412,cap2,-93,363,111
2,2412,cap2,-93,364,111
2,2412,cap2,-93,369,111
2,2412,cap2,-92,339,111
2,2412,cap2,-92,356,111
2,2412,cap2,-92,358,111
2,2412,cap2,-92,363,111
2,2412,cap2,-92,366,111
2,2412,cap2,-92,368,111
2,2412,cap2,-92,369,111
2,2412,cap2,-91,278,111
2,2412,cap2,-91,334,111
2,2412,cap2,-91,365,111
2,2412,cap2,-91,366,111
2,2412,cap2,-90,221,111
2,2412,cap2,-89,318,111
2,2412,cap2,-89,366,111
2,2412,cap2,-89,374,111
2,2412,cap2,-88,343,111
2,2412,cap2,-88,363,111
2,2412,cap2,-88,369,111
2,2412,cap2,-87,366,111
2,2412,cap2,-87,369,111
2,2412,cap2,-86,368,111
2,2412,cap2,-84,369,111
2,2412,cap2,-82,368,111
2,2412,cap2,-74,64,214
2,2412,cap2,-73,64,214
2,2412,cap2,-72,65,214
2,2412,cap2,-69,65,214
2,2412,cap2,-68,65,214
2,2412,cap2,-64,63,214
2,2412,cap2,-63,63,214
2,2412,cap2,-60,67,214
2,2412,cap3,-94,56,214
2,2412,cap3,-76,313,111
2,2412,cap3,-75,296,111
2,2412,cap3,-72,263,111
2,2412,cap3,-72,297,111
2,2412,cap3,-71,216,111
2,2412,cap3,-71,295,111
2,2412,cap3,-70,216,111
2,2412,cap3,-70,224,111
2,2412,cap3,-70,247,111
2,2412,cap3,-70,299,111
2,2412,cap3,-69,223,111
2,2412,cap3,-69,231,111
2,2412,cap3,-69,249,111
2,2412,cap3,-69,296,111
2,2412,cap3,-69,321,111
2,2412,cap3,-68,227,111
2,2412,cap3,-68,262,111
2,2412,cap3,-68,301,111
2,2412,cap3,-67,304,111
2,2412,cap3,-67,312,111
2,2412,cap3,-67,326,111
2,2412,cap3,-66,217,111
2,2412,cap3,-66,219,111
2,2412,cap3,-66,226,111
2,2412,cap3,-66,230,111
2,2412,cap3,-66,231,111
2,2412,cap3,-66,236,111
2,2412,cap3,-66,250,111
2,2412,cap3,-66,257,111
2,2412,cap3,-66,264,111
2,2412,cap3,-66,283,111
2,2412,cap3,-65,236,111
2,2412,cap3,-65,251,111
2,2412,cap3,-64,242,111
2,2412,cap3,-64,253,111
2,2412,cap3,-64,254,111
2,2412,cap3,-64,271,111
2,2412,cap3,-64,299,111
2,2412,cap3,-64,314,111
2,2412,cap3,-64,322,111
2,2412,cap3,-63,229,111
2,2412,cap3,-63,245,111
2,2412,cap3,-63,268,111
2,2412,cap3,-63,293,111
2,2412,cap3,-63,327,111
2,2412,cap3,-62,223,111
2,2412,cap3,-62,245,111
2,2412,cap3,-62,252,111
2,2412,cap3,-62,266,111
2,2412,cap3,-61,221,111
2,2412,cap3,-61,320,111
2,2412,cap3,-61,325,111
2,2412,cap3,-60,308,111
2,2412,cap3,-60,330,111
2,2412,cap3,-60,344,111
2,2412,cap3,-59,233,111
2,2412,cap3,-59,292,111
2,2412,cap3,-59,331,111
2,2412,cap3,-59,341,111
2,2412,cap3,-58,329,111
2,2412,cap3,-58,343,111
2,2412,cap3,-57,343,111
2,2412,cap3,-56,340,111
2,2412,cap3,-56,343,111
2,2412,cap3,-55,329,111
2,2412,cap3,-55,346,111
2,2412,cap3,-55,348,111
2,2412,cap3,-54,319,111
2,2412,cap3,-54,331,111
2,2412,cap3,-54,340,111
2,2412,cap3,-54,342,111
2,2412,cap3,-54,346,111
2,2412,cap3,-54,357,111
2,2412,cap3,-53,305,111
2,2412,cap3,-53,306,111
2,2412,cap3,-53,354,111
2,2412,cap3,-53,376,111
2,2412,cap3,-52,356,111
2,2412,cap3,-52,361,111
2,2412,cap3,-51,349,111
2,2412,cap3,-46,358,111
2,2412,cap3,-44,363,111
2,2412,cap3,-42,360,111
2,2412,cap3,-40,367,111
2,2412,cap3,-39,367,111
2,2412,cap3,-39,374,111
2,2412,cap3,-38,374,111
2,2412,cap3,-35,366,111
2,2412,cap3,-31,372,111
2,2417,cap1,-93,269,111
2,2417,cap1,-93,361,111
2,2417,cap1,-90,328,111
2,2417,cap1,-90,351,111
2,2417,cap1,-90,366,111
2,2417,cap1,-89,366,111
2,2417,cap1,-88,58,214
2,2417,cap1,-88,346,111
2,2417,cap1,-87,220,111
2,2417,cap1,-87,366,111
2,2417,cap1,-86,239,111
2,2417,cap1,-86,254,111
2,2417,cap1,-86,274,111
2,2417,cap1,-86,290,111
2,2417,cap1,-86,333,111
2,2417,cap1,-86,373,111
2,2417,cap1,-85,55,214
2,2417,cap1,-85,64,214
2,2417,cap1,-85,229,111
2,2417,cap1,-85,335,111
2,2417,cap1,-85,356,111
2,2417,cap1,-85,364,111
2,2417,cap1,-84,57,214
2,2417,cap1,-84,247,111
2,2417,cap1,-84,268,111
2,2417,cap1,-84,270,111
2,2417,cap1,-84,357,111
2,2417,cap1,-84,369,111
2,2417,cap1,-84,374,111
2,2417,cap1,-83,55,214
2,2417,cap1,-83,73,214
2,2417,cap1,-83,268,111
2,2417,cap1,-83,277,111
2,2417,cap1,-83,331,111
2,2417,cap1,-83,358,111
2,2417,cap1,-83,361,111
2,2417,cap1,-83,363,111
2,2417,cap1,-83,370,111
2,2417,cap1,-82,277,111
2,2417,cap1,-82,290,111
2,2417,cap1,-82,328,111
2,2417,cap1,-82,333,111
2,2417,cap1,-82,353,111
2,2417,cap1,-82,361,111
2,2417,cap1,-82,362,111
2,2417,cap1,-82,366,111
2,2417,cap1,-82,373,111
2,2417,cap1,-81,229,111
2,2417,cap1,-81,255,111
2,2417,cap1,-81,328,111
2,2417,cap1,-81,333,111
2,2417,cap1,-81,342,111
2,2417,cap1,-81,362,111
2,2417,cap1,-81,363,111
