"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-55","77","2023-11-16 13:45:17"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-63","77","2023-11-16 13:45:17"
"6A:D2:19:82:06:D2","C2","2412","cap1","-81","77","2023-11-16 13:45:33"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-68","77","2023-11-16 13:45:33"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-78","77","2023-11-16 13:45:33"
"6A:D2:19:82:06:D2","C2","2412","cap2","-63","77","2023-11-16 13:45:41"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-47","77","2023-11-16 13:45:41"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-56","77","2023-11-16 13:45:41"
"6A:D2:19:82:06:D2","C2","2412","cap1","-78","77","2023-11-16 13:45:58"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-76","77","2023-11-16 13:45:58"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-80","77","2023-11-16 13:45:58"
"6A:D2:19:82:06:D2","C2","2412","cap2","-59","77","2023-11-16 13:46:06"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-55","77","2023-11-16 13:46:06"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-54","77","2023-11-16 13:46:06"
"6A:D2:19:82:06:D2","C2","2417","cap1","-77","77","2023-11-16 13:46:14"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-73","77","2023-11-16 13:46:14"
"6A:D2:19:82:06:D2","C2","2422","cap2","-59","77","2023-11-16 13:46:31"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-58","77","2023-11-16 13:46:31"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-63","77","2023-11-16 13:46:31"
"6A:D2:19:82:06:D2","C2","2422","cap1","-78","77","2023-11-16 13:46:39"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-85","77","2023-11-16 13:46:39"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-83","77","2023-11-16 13:46:39"
"6A:D2:19:82:06:D2","C2","2422","cap2","-66","68","2023-11-16 13:48:56"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-44","68","2023-11-16 13:48:56"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-50","68","2023-11-16 13:48:56"
"6A:D2:19:82:06:D2","C2","2417","cap1","-75","68","2023-11-16 13:48:56"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-72","68","2023-11-16 13:48:56"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-70","68","2023-11-16 13:48:56"
"6A:D2:19:82:06:D2","C2","2417","cap1","-82","68","2023-11-16 13:49:22"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-72","68","2023-11-16 13:49:22"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-70","68","2023-11-16 13:49:22"
"6A:D2:19:82:06:D2","C2","2417","cap2","-63","68","2023-11-16 13:49:22"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-47","68","2023-11-16 13:49:22"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-54","68","2023-11-16 13:49:22"
"6A:D2:19:82:06:D2","C2","2412","cap2","-69","68","2023-11-16 13:49:39"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-74","68","2023-11-16 13:49:39"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-55","68","2023-11-16 13:49:39"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-74","68","2023-11-16 13:49:49"
"6A:D2:19:82:06:D2","C2","2412","cap1","-86","68","2023-11-16 13:49:49"
"6A:D2:19:82:06:D2","C2","2412","cap2","-70","68","2023-11-16 13:49:55"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-55","68","2023-11-16 13:49:55"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-50","68","2023-11-16 13:49:55"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-70","68","2023-11-16 13:50:08"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-66","68","2023-11-16 13:50:08"
"6A:D2:19:82:06:D2","C2","2412","cap1","-82","68","2023-11-16 13:50:08"
"6A:D2:19:82:06:D2","C2","2412","cap2","-62","68","2023-11-16 13:50:11"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-61","68","2023-11-16 13:50:11"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-48","68","2023-11-16 13:50:11"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-71","68","2023-11-16 13:50:36"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-69","68","2023-11-16 13:50:36"
"6A:D2:19:82:06:D2","C2","2417","cap1","-85","68","2023-11-16 13:50:36"
"6A:D2:19:82:06:D2","C2","2422","cap2","-62","68","2023-11-16 13:50:36"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-57","68","2023-11-16 13:50:36"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-60","68","2023-11-16 13:50:36"
"6A:D2:19:82:06:D2","C2","2417","cap2","-60","68","2023-11-16 13:51:01"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-53","68","2023-11-16 13:51:01"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-51","68","2023-11-16 13:51:01"
"6A:D2:19:82:06:D2","C2","2417","cap1","-80","68","2023-11-16 13:51:02"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-68","68","2023-11-16 13:51:02"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-72","68","2023-11-16 13:51:02"
"6A:D2:19:82:06:D2","C2","2427","cap2","-79","68","2023-11-16 13:51:18"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-72","68","2023-11-16 13:51:18"
"AA:3A:2F:0C:11:A6","C11","2452","cap2","-51","68","2023-11-16 13:51:18"
"6A:D2:19:82:06:D2","C2","2412","cap1","-85","68","2023-11-16 13:51:20"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-71","68","2023-11-16 13:51:20"
"AA:3A:2F:0C:11:A6","C11","2462","cap1","-71","68","2023-11-16 13:51:20"
"6A:D2:19:82:06:D2","C2","2412","cap1","-85","68","2023-11-16 13:51:37"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-72","68","2023-11-16 13:51:37"
"AA:3A:2F:0C:11:A6","C11","2457","cap1","-69","68","2023-11-16 13:51:37"
"6A:D2:19:82:06:D2","C2","2412","cap2","-69","68","2023-11-16 13:51:43"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-70","68","2023-11-16 13:51:43"
"AA:3A:2F:0C:11:A6","C11","2457","cap2","-47","68","2023-11-16 13:51:43"
"6A:D2:19:82:06:D2","C2","2412","cap2","-71","68","2023-11-16 13:52:00"
"FE:47:AD:D7:13:E2","C1","2452","cap2","-70","68","2023-11-16 13:52:00"
"AA:3A:2F:0C:11:A6","C11","2462","cap2","-58","68","2023-11-16 13:52:00"
"6A:D2:19:82:06:D2","C2","2417","cap1","-81","68","2023-11-16 13:52:03"
