id,title,lat,lng
104,26,7.065663894,125.5964508
105,35,7.065676536,125.5964555
106,44,7.065688021,125.5964603
107,53,7.065700414,125.596465
108,62,7.06571181,125.5964697
109,71,7.065722374,125.5964735
110,10,7.065644765,125.5964303
111,11,7.065648425,125.5964198
112,12,7.065653083,125.596408
113,13,7.06565691,125.5963968
114,14,7.065661568,125.5963861
115,15,7.06566606,125.5963743
116,16,7.065674544,125.5963546
117,18,7.06565659,125.5964354
118,19,7.065660588,125.5964243
119,20,7.065664396,125.5964129
120,21,7.065668389,125.5964018
121,22,7.065672568,125.5963904
122,23,7.065677372,125.5963797
123,24,7.065681365,125.5963697
124,25,7.065685857,125.5963586
125,27,7.065667082,125.5964404
126,28,7.065671571,125.5964287
127,29,7.065675567,125.5964183
128,30,7.065679203,125.5964075
129,31,7.065683194,125.5963978
130,32,7.065687876,125.5963854
131,33,7.065692179,125.5963742
132,34,7.065696671,125.5963624
133,36,7.065679536,125.5964441
134,37,7.065682864,125.596433
135,38,7.065686857,125.596423
136,39,7.06569085,125.5964126
137,40,7.065694842,125.5964022
138,41,7.065699164,125.5963908
139,42,7.065702826,125.5963792
140,43,7.065707152,125.5963663
141,45,7.06569168,125.5964483
142,46,7.065695341,125.5964369
143,47,7.065699333,125.5964265
144,48,7.065702495,125.5964169
145,49,7.065706159,125.5964057
146,50,7.065709812,125.596395
147,51,7.065713974,125.5963834
148,52,7.065718465,125.5963708
149,54,7.065703829,125.5964531
150,55,7.065707155,125.5964414
151,56,7.065710814,125.5964305
152,57,7.065713976,125.5964211
153,58,7.065717298,125.5964106
154,59,7.065721125,125.5963998
155,60,7.06572512,125.5963878
156,61,7.06573011,125.5963757
157,63,7.06571547,125.5964578
158,64,7.065719132,125.5964454
159,65,7.065722291,125.5964349
160,66,7.065724952,125.5964256
161,67,7.065728113,125.5964156
162,68,7.065731937,125.5964052
163,69,7.065736099,125.5963928
164,70,7.065740258,125.5963794
165,72,7.065724957,125.5964619
166,73,7.065728943,125.5964491
167,74,7.065732433,125.5964384
168,75,7.065735765,125.596429
169,76,7.065739589,125.5964194
170,77,7.065743746,125.5964091
171,78,7.06574708,125.5963965
172,79,7.065751405,125.5963839
173,190,7.065858045,125.59648
174,191,7.065851723,125.596483
175,192,7.065845069,125.5964863
176,194,7.065831094,125.5964932
177,193,7.065838081,125.5964893
178,195,7.06582394,125.5964964
179,196,7.065815622,125.5965006
180,197,7.065808635,125.5965044
181,198,7.065800816,125.5965085
182,199,7.065793329,125.5965125
183,200,7.065786841,125.5965155
184,201,7.065855799,125.5964756
185,202,7.065849644,125.5964785
186,203,7.065842989,125.5964818
187,204,7.065835752,125.5964855
188,205,7.065828599,125.596489
189,206,7.065821944,125.5964919
190,207,7.065813542,125.5964963
191,208,7.065806971,125.5964991
192,209,7.065798986,125.5965038
193,210,7.065791333,125.5965075
194,211,7.065785011,125.5965101
195,220,7.065783015,125.5965048
196,230,7.065788005,125.5964974
197,219,7.065789669,125.5965024
198,218,7.065796989,125.5964994
199,217,7.065819615,125.5964877
200,216,7.06582602,125.5964845
201,215,7.065833589,125.5964806
202,214,7.065840743,125.5964774
203,213,7.065847398,125.5964739
204,212,7.065853553,125.5964712
205,221,7.065851224,125.5964665
206,222,7.065844902,125.5964692
207,223,7.06583858,125.5964722
208,224,7.065831593,125.5964763
209,225,7.065823608,125.59648
210,226,7.065817286,125.5964826
211,227,7.065809966,125.596487
212,228,7.065803145,125.5964905
213,229,7.065795326,125.5964947
214,331,7.065790002,125.5964414
215,232,7.065848895,125.5964619
216,239,7.065779022,125.5964957
217,238,7.065786009,125.5964922
218,237,7.065792996,125.5964892
219,236,7.065821611,125.5964753
220,235,7.065829597,125.5964714
221,234,7.065835919,125.5964676
222,233,7.065842906,125.5964645
223,240,7.065840244,125.5964598
224,241,7.065819948,125.5964702
225,242,7.065811629,125.5964736
226,243,7.065804975,125.5964763
227,244,7.065797322,125.5964793
228,245,7.065790335,125.5964833
229,246,7.065783347,125.5964857
230,247,7.06577636,125.5964893
231,248,7.065770038,125.5964927
232,249,7.065764382,125.5964957
233,250,7.065845235,125.5964521
234,251,7.065837582,125.5964548
235,252,7.065831926,125.5964582
236,253,7.065824938,125.5964612
237,254,7.065817951,125.5964649
238,255,7.065809633,125.5964686
239,256,7.065803311,125.5964716
240,257,7.065795326,125.5964746
241,258,7.065788671,125.5964786
242,259,7.065781684,125.596481
243,260,7.065774364,125.5964843
