"mac_address","ssid","signal_strength","source","channel","floorid","timestamp"
"56:3A:A2:F8:0C:63","C3","2447","cap2","-70","138","2023-11-10 16:26:15"
"F6:CE:87:F2:06:21","C5","2422","cap1","-62","138","2023-11-10 16:26:15"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-51","138","2023-11-10 16:26:15"
"02:9D:2F:8D:49:90","C6","2417","cap1","-54","138","2023-11-10 16:26:15"
"FE:47:AD:D7:13:E2","C1","2437","cap1","-45","138","2023-11-10 16:26:15"
"52:39:94:90:76:D2","C10","2432","cap1","-53","138","2023-11-10 16:26:15"
"56:3A:A2:F8:0C:63","C3","2452","cap1","-64","138","2023-11-10 16:26:15"
"B6:6A:AD:C1:CF:19","C4","2452","cap1","-68","138","2023-11-10 16:26:15"
"02:9D:2F:8D:49:90","C6","2412","cap3","-94","138","2023-11-10 16:26:28"
"F6:CE:87:F2:06:21","C5","2412","cap3","-90","138","2023-11-10 16:26:28"
"52:39:94:90:76:D2","C10","2427","cap3","-82","138","2023-11-10 16:26:28"
"F6:CE:87:F2:06:21","C5","2422","cap2","-69","138","2023-11-10 16:26:31"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-70","138","2023-11-10 16:26:31"
"52:39:94:90:76:D2","C10","2417","cap2","-59","138","2023-11-10 16:26:31"
"02:9D:2F:8D:49:90","C6","2412","cap2","-71","138","2023-11-10 16:26:31"
"02:9D:2F:8D:49:90","C6","2412","cap1","-62","138","2023-11-10 16:26:33"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-53","138","2023-11-10 16:26:33"
"F6:CE:87:F2:06:21","C5","2422","cap1","-53","138","2023-11-10 16:26:33"
"52:39:94:90:76:D2","C10","2432","cap1","-51","138","2023-11-10 16:26:33"
"F6:CE:87:F2:06:21","C5","2417","cap3","-90","138","2023-11-10 16:26:45"
"52:39:94:90:76:D2","C10","2422","cap3","-91","138","2023-11-10 16:26:45"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-88","138","2023-11-10 16:26:45"
"7A:6B:C2:5A:7B:88","C8","2437","cap3","-90","138","2023-11-10 16:26:45"
"F6:CE:87:F2:06:21","C5","2417","cap2","-62","138","2023-11-10 16:26:46"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-68","138","2023-11-10 16:26:46"
"52:39:94:90:76:D2","C10","2417","cap2","-59","138","2023-11-10 16:26:46"
"02:9D:2F:8D:49:90","C6","2417","cap2","-71","138","2023-11-10 16:26:46"
"FE:47:AD:D7:13:E2","C1","2432","cap2","-75","138","2023-11-10 16:26:46"
"F6:CE:87:F2:06:21","C5","2417","cap1","-51","138","2023-11-10 16:26:49"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-54","138","2023-11-10 16:26:49"
"02:9D:2F:8D:49:90","C6","2417","cap1","-56","138","2023-11-10 16:26:49"
"52:39:94:90:76:D2","C10","2427","cap1","-42","138","2023-11-10 16:26:49"
"FE:47:AD:D7:13:E2","C1","2452","cap1","-59","138","2023-11-10 16:26:49"
"F6:CE:87:F2:06:21","C5","2412","cap3","-93","138","2023-11-10 16:27:01"
"02:9D:2F:8D:49:90","C6","2412","cap3","-91","138","2023-11-10 16:27:01"
"56:3A:A2:F8:0C:63","C3","2437","cap3","-91","138","2023-11-10 16:27:01"
"F6:CE:87:F2:06:21","C5","2412","cap2","-72","138","2023-11-10 16:27:02"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-69","138","2023-11-10 16:27:02"
"02:9D:2F:8D:49:90","C6","2417","cap2","-69","138","2023-11-10 16:27:02"
"02:9D:2F:8D:49:90","C6","2417","cap1","-58","138","2023-11-10 16:27:05"
"F6:CE:87:F2:06:21","C5","2417","cap1","-64","138","2023-11-10 16:27:05"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-50","138","2023-11-10 16:27:05"
"52:39:94:90:76:D2","C10","2432","cap1","-50","138","2023-11-10 16:27:05"
"F6:CE:87:F2:06:21","C5","2417","cap3","-86","138","2023-11-10 16:27:19"
"52:39:94:90:76:D2","C10","2427","cap3","-86","138","2023-11-10 16:27:19"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-83","138","2023-11-10 16:27:19"
"F6:CE:87:F2:06:21","C5","2417","cap2","-68","138","2023-11-10 16:27:19"
"A2:89:5E:B6:E7:58","C7","2412","cap2","-65","138","2023-11-10 16:27:19"
"02:9D:2F:8D:49:90","C6","2412","cap2","-73","138","2023-11-10 16:27:19"
"52:39:94:90:76:D2","C10","2417","cap2","-65","138","2023-11-10 16:27:19"
"56:3A:A2:F8:0C:63","C3","2447","cap2","-76","138","2023-11-10 16:27:19"
"7A:6B:C2:5A:7B:88","C8","2447","cap2","-74","138","2023-11-10 16:27:19"
"F6:CE:87:F2:06:21","C5","2417","cap1","-57","138","2023-11-10 16:27:20"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-49","138","2023-11-10 16:27:20"
"02:9D:2F:8D:49:90","C6","2417","cap1","-64","138","2023-11-10 16:27:20"
"02:9D:2F:8D:49:90","C6","2412","cap3","-94","138","2023-11-10 16:27:37"
"52:39:94:90:76:D2","C10","2422","cap3","-88","138","2023-11-10 16:27:37"
"FE:47:AD:D7:13:E2","C1","2432","cap3","-83","138","2023-11-10 16:27:37"
"56:3A:A2:F8:0C:63","C3","2437","cap3","-92","138","2023-11-10 16:27:37"
"02:9D:2F:8D:49:90","C6","2422","cap2","-75","138","2023-11-10 16:27:37"
"F6:CE:87:F2:06:21","C5","2417","cap2","-69","138","2023-11-10 16:27:37"
"52:39:94:90:76:D2","C10","2417","cap2","-71","138","2023-11-10 16:27:37"
"02:9D:2F:8D:49:90","C6","2422","cap1","-53","138","2023-11-10 16:27:38"
"F6:CE:87:F2:06:21","C5","2417","cap1","-62","138","2023-11-10 16:27:38"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-50","138","2023-11-10 16:27:38"
"52:39:94:90:76:D2","C10","2432","cap1","-50","138","2023-11-10 16:27:38"
"7A:6B:C2:5A:7B:88","C8","2452","cap1","-59","138","2023-11-10 16:27:38"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-43","138","2023-11-10 16:27:38"
"A2:89:5E:B6:E7:58","C7","2412","cap1","-53","139","2023-11-10 16:32:30"
"02:9D:2F:8D:49:90","C6","2417","cap1","-50","139","2023-11-10 16:32:30"
"F6:CE:87:F2:06:21","C5","2417","cap1","-58","139","2023-11-10 16:32:30"
"52:39:94:90:76:D2","C10","2427","cap1","-48","139","2023-11-10 16:32:30"
"56:3A:A2:F8:0C:63","C3","2442","cap1","-53","139","2023-11-10 16:32:30"
