"mac_address","ssid","channel","source","signal_strength","floorid","timestamp"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:55"
"FE:47:AD:D7:13:E2","C1","2447","cap3","-84","189","2023-11-28 09:13:55"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-68","189","2023-11-28 09:13:56"
"DA:71:6E:D0:03:D4","C2","2432","cap2","-74","189","2023-11-28 09:13:56"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:56"
"FE:47:AD:D7:13:E2","C1","2432","cap3","-77","189","2023-11-28 09:13:56"
"DA:71:6E:D0:03:D4","C2","2442","cap1","-65","189","2023-11-28 09:13:57"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-59","189","2023-11-28 09:13:57"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-60","189","2023-11-28 09:13:57"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:13:57"
"FE:47:AD:D7:13:E2","C1","2442","cap3","-79","189","2023-11-28 09:13:57"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:57"
"DA:71:6E:D0:03:D4","C2","2442","cap1","-65","189","2023-11-28 09:13:58"
"FE:47:AD:D7:13:E2","C1","2447","cap1","-59","189","2023-11-28 09:13:58"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-60","189","2023-11-28 09:13:58"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:13:58"
"FE:47:AD:D7:13:E2","C1","2442","cap2","-60","189","2023-11-28 09:13:59"
"DA:71:6E:D0:03:D4","C2","2432","cap1","-78","189","2023-11-28 09:13:59"
"FE:47:AD:D7:13:E2","C1","2432","cap1","-65","189","2023-11-28 09:13:59"
"FE:47:AD:D7:13:E2","C1","2442","cap3","-79","189","2023-11-28 09:13:59"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:13:59"
"DA:71:6E:D0:03:D4","C2","2447","cap2","-69","189","2023-11-28 09:14:00"
"FE:47:AD:D7:13:E2","C1","2427","cap3","-85","189","2023-11-28 09:14:00"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-90","189","2023-11-28 09:14:00"
"DA:71:6E:D0:03:D4","C2","2447","cap1","-67","189","2023-11-28 09:14:01"
"FE:47:AD:D7:13:E2","C1","2442","cap1","-62","189","2023-11-28 09:14:01"
"FE:47:AD:D7:13:E2","C1","2437","cap2","-65","189","2023-11-28 09:14:01"
"DA:71:6E:D0:03:D4","C2","2437","cap2","-74","189","2023-11-28 09:14:01"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-67","189","2023-11-28 09:14:01"
"DA:71:6E:D0:03:D4","C2","2437","cap2","-74","189","2023-11-28 09:14:01"
"FE:47:AD:D7:13:E2","C1","2437","cap3","-79","189","2023-11-28 09:14:01"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-88","189","2023-11-28 09:14:01"
"FE:47:AD:D7:13:E2","C1","2452","cap1","-74","189","2023-11-28 09:14:02"
"DA:71:6E:D0:03:D4","C2","2447","cap1","-67","189","2023-11-28 09:14:02"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-67","189","2023-11-28 09:14:02"
"DA:71:6E:D0:03:D4","C2","2437","cap2","-74","189","2023-11-28 09:14:02"
"FE:47:AD:D7:13:E2","C1","2447","cap3","-83","189","2023-11-28 09:14:02"
"DA:71:6E:D0:03:D4","C2","2437","cap3","-88","189","2023-11-28 09:14:02"
"DA:71:6E:D0:03:D4","C2","2447","cap1","-67","189","2023-11-28 09:14:03"
"FE:47:AD:D7:13:E2","C1","2452","cap1","-74","189","2023-11-28 09:14:03"
"FE:47:AD:D7:13:E2","C1","2447","cap2","-67","189","2023-11-28 09:14:03"
"DA:71:6E:D0:03:D4","C2","2432","cap2","-68","189","2023-11-28 09:14:03"
